Original,Part of,Translation
unrest at upkeep and no bonus from festivals,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",malestar durante el mantenimiento y sin bonus por festivales.
SMITINGS,SMITINGS|PER DAY,CASTIGOS
PER DAY,SMITINGS|PER DAY,POR DÍA
Leads kingdom’s defences,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",Lidera las defensas del Reino
"– If vacant,","Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability","- Si vacante,"
loyalty and,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",lealtad y
stability,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",estabilidad
Slow Fall,Slow Fall 80 ft,Caída lentificada
80 ft,Slow Fall 80 ft,80 ft
Slow Fall,Slow Fall 40 ft,Caída Lentificada
40 ft,Slow Fall 40 ft,40'
QUIVER,QUIVER DAYS,DÍAS
DAYS,QUIVER DAYS,TEMBLOR
PER DAY,GRIT POINTS|PER DAY,AL DÍA
Dodge bonus to,Dodge bonus to AC,Bonus de esquiva a
AC,Dodge bonus to AC,CA
Venom Immunity,Venom Immunity|Immune to all poisons,Inmunidad al veneno
Immune to all poisons,Venom Immunity|Immune to all poisons,Inmune a todos los venenos
CMB,"As part of a full attack, make additional|combat manoeuvres at a penalty to CMB.",BMC
BONUS,STREETWISE|BONUS,BONUS
POISON RESISTANCE,POISON RESISTANCE FORTITUDE SAVE BONUS,RESISTENCIA A VENENOS
FORTITUDE SAVE BONUS,POISON RESISTANCE FORTITUDE SAVE BONUS,BONIFICADOR A SALV DE FORTALEZA POR
Dead Shot,"Dead Shot    Roll all attacks, additional hits add dice",Disparo certero
"Roll all attacks, additional hits add dice","Dead Shot    Roll all attacks, additional hits add dice","Lanza por todos los ataques, los aciertos añaden dados de daño"
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,BONUS ATAQUE BASE
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,RÁFAGA DE GOLPES
BANE,BANE|PER DAY,PERDICIÓN
PER DAY,BANE|PER DAY,AL DÍA
DC,Trick Riding  Ignore Ride checks of DC 15; no penalty for riding bareback; use Mounted Combat twice,CD
Slow Fall,Slow Fall Any distance,Caída Lentificada
Any distance,Slow Fall Any distance,Cualquier distancia
Paired Opportunists,Paired Opportunists    When adjacent,Oportunistas en pareja
When adjacent,Paired Opportunists    When adjacent,Cuando está adyacente
"Recover from being fatigued, shaken or sickened","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Te recuperas de las condiciones de fatigado, estremecido o indispuesto"
Level 8:,"Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered",Nivel 8:
"recover from being exhausted, frightened, nauseated or staggered","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Te recuperas de las condiciones de  exhausto, asustado, mareado o grogui"
BONUS,DEXTERITY|SCORE|BONUS,BONUS
PER DAY,POWER POINTS|PER DAY,AL DÍA
"stability,","+2 stability, +2bp consumption","Estabilidad,"
+2bp,"+2 stability, +2bp consumption",+2bp
consumption,"+2 stability, +2bp consumption",consumo
Physical Resistance,Physical Resistance -3,Resistencia Física
DC 20,"On entering an anti-psionic area, pass a Will Save (DC 20)|to keep your mind blade active for this duration:",CD 20
Two-weapon Rend,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",Desgarrar con dos armas
"If you hit with both weapons, do an extra 1d10 + (","Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage","Si golpeas con ambas armas, haz un extra 1d10 ("
STR,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",FUE
× 1½) damage,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",× 1½) daño
WIS,"Add WIS to CMB, once a round",SAB
to,"Add WIS to CMB, once a round",a
CMB,"Add WIS to CMB, once a round",BMC
Forbidden|During,Forbidden|During|RAGE!,Prohibido|Durante
RAGE!,Forbidden|During|RAGE!,FURIA!
Grants,Grants +24 to Acrobatics,Concede
to Acrobatics,Grants +24 to Acrobatics,a Acrobacias
ASSIGN LEADERSHIP,ASSIGN LEADERSHIP    Adjust kingdom rolls,ASIGNAR LIDERAZGO
Adjust kingdom rolls,ASSIGN LEADERSHIP    Adjust kingdom rolls,Ajusta las pruebas del reino
TODAY,PERFECT STRIKE|TODAY,HOY
Double Slice,Double Slice    Add your full STR to damage with an off-hand weapon,Doble Tajo
Add your full,Double Slice    Add your full STR to damage with an off-hand weapon,Añade completamente tu
STR,Double Slice    Add your full STR to damage with an off-hand weapon,FUE
to damage with an off-hand weapon,Double Slice    Add your full STR to damage with an off-hand weapon,al daño con arma en mano torpe
Shake It Off,Shake It Off     +1 to all saving throws per adjacent ally,Sacudirselo
to all saving throws per adjacent ally,Shake It Off     +1 to all saving throws per adjacent ally,a todas las salvaciones por aliados adyacente
TRAP SENSE,TRAP SENSE|BONUS,BONUS
BONUS,TRAP SENSE|BONUS,SENTIDO DE TRAMPAS
KNOWN,ARCANA|KNOWN,CONOCIDOS
POOL,ENHANCEMENT|POOL,RESERVA
SPELL,SPELL RESISTANCE,RESISTENCIA A
RESISTANCE,SPELL RESISTANCE,CONJUROS
WILD EMPATHY,WILD EMPATHY BONUS,EMPATIA SALVAJE
BONUS,WILD EMPATHY BONUS,BONUS
Cost:,Cost: all remaining pts,Coste:
BONUS,SACRED|BONUS,BONUS
Fast Movement,Fast Movement +40 ft,Movimiento Rápido
+40 ft,Fast Movement +40 ft,+40 ft
BONUS,ENHANCEMENT|BONUS,BONUS
Enlarge Spell,Enlarge Spell  +1,Ampliar conjuro
Intelligence,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",Inteligencia
"– If vacant,","Intelligence – If vacant, -4 economy and +1 unrest at upkeep","- Si vacante,"
economy and,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",economía y
unrest at upkeep,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",malestar durante el mantenimiento
Feint Partner,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",Compañero de finta
"When ally feints, enemy loses","Feint Partner    When ally feints, enemy loses DEX bonus to AC","Cuando el aliado finta, el enemigo pierde "
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DES
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",bonus a
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
CORRUPTION,CORRUPTION|HIT POINTS,CORRUPCIÓN
HIT POINTS,CORRUPTION|HIT POINTS,PUNTOS GOLPE
Mighty,Mighty RAGE!,Furia
RAGE!,Mighty RAGE!,Poderosa
DC,DC    5,CD
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,BONUS MAX. DES
BONUS,MAX ARMOUR|DEX BONUS,ARMADURA
Fast Movement,Fast Movement +10 ft,Movimiento Rápido
+10 ft,Fast Movement +10 ft,+10 ft
Level,400’+ 40’ × Level,Nivel
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Disparo Preciso Mejorado
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ignora los penalizadores por cobertura u ocultamiento parcial
Pack Attack,Pack Attack    Ally’s attack allows you to take 5ft step,Ataque en manada
Ally’s attack allows you to take,Pack Attack    Ally’s attack allows you to take 5ft step,Los ataques del aliado te permiten hacer
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,5 ft
step,Pack Attack    Ally’s attack allows you to take 5ft step,paso
Neutral:,Neutral: +2 Stability,Neutral:
Stability,Neutral: +2 Stability,Estabilidad
COMBAT|MANEUVRE,COMBAT|MANEUVRE|DEFENCE,DEFENSA|MANIOBRA
DEFENCE,COMBAT|MANEUVRE|DEFENCE,COMBATE
Escape Route,Escape Route    Don’t provoke AoO when adjacent to an ally,Ruta de Escape
Don’t provoke AoO when adjacent to an ally,Escape Route    Don’t provoke AoO when adjacent to an ally,No provoca AdO cuando está adyacente a un aliado
POWER POINTS,POWER POINTS|MAX COST,PUNTOS DE PODER
MAX COST,POWER POINTS|MAX COST,COSTO MAXIMO
Grant more abilities to allies -,Grant more abilities to allies - 2 ki points,Conceder más aptitudes a aliados -
2 ki points,Grant more abilities to allies - 2 ki points,2 puntos ki
WILL SAVE,WILL SAVE|BONUS,SALV VOL
BONUS,WILL SAVE|BONUS,BONUS
Greater,Greater RAGE!,Furia
RAGE!,Greater RAGE!,Mayor
RAGE,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",FURIA
today,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",hoy
A Thousand Faces,A Thousand Faces|Change appearance at will,Mil Caras
Change appearance at will,A Thousand Faces|Change appearance at will,Cambia apariencia a voluntad
WIS,Use WIS in place of STR/DEX for monk weapons,SAB
STR,Use WIS in place of STR/DEX for monk weapons,FUE
DEX,Use WIS in place of STR/DEX for monk weapons,DES
HIT POINTS,TEMPORARY|HIT POINTS,PUNTOS GOLPE
USES,USES|PER DAY,USOS
PER DAY,USES|PER DAY,AL DÍA
1 ki point,"As a swift action, gain +4 insight bonus to any skill or ability check, at a cost of 1 ki point",1 punto ki
BONUS,FOCUS|BONUS,BONUS
DC,DC 10,CD
"stability,","+4 stability, +8bp consumption","Estabilidad,"
+8bp,"+4 stability, +8bp consumption",+8bp
consumption,"+4 stability, +8bp consumption",consumo
BONUS,DISPEL BONUS,BONUS
PER DAY,LUCKY ROLLS|PER DAY,AL DÍA
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,GOLPE MAESTRO
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,CD FORTALEZA
Lookout,Lookout    Act in surprise round if ally can act,Centinela
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,Actuas en asalto sorpresa si el aliado puede
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Arma mano torpe
less for a light weapon),Off-hand weapon    (2 less for a light weapon),menos para un arma ligera)
Devastating Strike,Devastating Strike    +2 per extra die,Golpe Devastador
per extra die,Devastating Strike    +2 per extra die,por dado extra
Two-weapon Fighting,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Combate con dos armas
Penalty for wielding two weapons reduced to -4 / -4,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Penalización por blandir 2 armas reducido a -4 / -4
SNEAK ATTACK,SNEAK ATTACK|BONUS,ATAQUE FURTIVO
BONUS,SNEAK ATTACK|BONUS,BONUS
"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get","You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.","Obtienes un número de rangos de habilidad de tu clase, a los que añades|tu modif. INT. Coloca estos rangos en habilidades.|Recuerda que las habilidades de clase obtienen"
only if you have at least one rank.,"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.",solo si al menos posees un rango.
Wild Shape,Wild Shape|Become any small or medium animal,Forma Salvaje
Become any small or medium animal,Wild Shape|Become any small or medium animal,Se transforma en cualquier animal pequeño o mediano
HEALING,HEALING|POINTS,CURACIÓN
Seize the Moment,Seize the Moment    AoO when ally confirms critical hit,Aprovecha el momento
AoO when ally confirms critical hit,Seize the Moment    AoO when ally confirms critical hit,AdO cuando un aliado confirma un crítico
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatía salvaje
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Mejora la actitud del animal
Bonus Spells,Bonus Spells|WIS,Conjuros Adicionales
WIS,Bonus Spells|WIS,SAB
Bleeding Wound,"Bleeding Wound    Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage",Herida Sangrante
"Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Bleeding Wound    Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Sangrado igual a DES|Otra alternativa, 1pt daño Fuerza, Destreza o Contitución"
(which grants,(which grants +4 to Acrobatics),(concede
to Acrobatics),(which grants +4 to Acrobatics),a Acrobacias)
WIS,Linguistics and Knowledge are class skills using WIS,SAB
ATTACK,ATTACK BONUS,ATAQUE
BONUS,ATTACK BONUS,BONUS
or,"Declare an elemental damage type before making an attack:|Acid, Cold, Electricity or Fire",o
Acid,"Declare an elemental damage type before making an attack:|Acid, Cold, Electricity or Fire",Ácido
REFLEX / FORTITUDE,REFLEX / FORTITUDE|SAVE DC,REFLEJOS / FORTALEZA
DAMAGE,ELEMENTAL|DAMAGE,DAÑO
Grant bonus to allies in 30ft -,Grant bonus to allies in 30ft - 1 ki point,Conceder bonus a aliados en 30 ft -
1 ki point,Grant bonus to allies in 30ft - 1 ki point,1 punto ki
Manyshot,Manyshot    Shoot two arrows simultaneously,Disparo multiple
Shoot two arrows simultaneously,Manyshot    Shoot two arrows simultaneously,Disparas 2 flechas de forma simultanea
Great Cleave,Great Cleave    Any number of extra attacks per round,Gran Hendedura
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Cualquier número de ataques extra por asalto
Tongue of the Sun and Moon,Tongue of the Sun and Moon|Speak with any living creature,Lengua del Sol y la Luna
Speak with any living creature,Tongue of the Sun and Moon|Speak with any living creature,Habla con cualquier criatura viva
Dodge bonus to,"Dodge bonus to AC, and morale bonus|to saving throws against fear",Bonus esquiva a
AC,"Dodge bonus to AC, and morale bonus|to saving throws against fear",CA
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,DEFENSA DE MANIOBRA
DEFENCE,COMBAT MANOEUVRE|DEFENCE,DE COMBATE
STUNNING FIST,STUNNING FIST|TODAY,PUÑETAZO ATURDIDOR
TODAY,STUNNING FIST|TODAY,HOY
Back to Back,Back to Back     +2 to AC against flanking,Espalda con espalda
to,Back to Back     +2 to AC against flanking,a
AC,Back to Back     +2 to AC against flanking,CA
against flanking,Back to Back     +2 to AC against flanking,contra flanqueo
+2 WIS,+2 WIS and -2 CHA in all three forms.,+2 SAB
and,+2 WIS and -2 CHA in all three forms.,y
-2 CHA,+2 WIS and -2 CHA in all three forms.,-2 CAR
in all three forms.,+2 WIS and -2 CHA in all three forms.,en las tres formas.
ATTACK,ATTACK|BONUS,BONUS
BONUS,ATTACK|BONUS,ATAQUE
Good:,Good: +2 Loyalty,Bueno:
Loyalty,Good: +2 Loyalty,Lealtad
Slow Fall,Slow Fall 20 ft,Caída Lentificada
20 ft,Slow Fall 20 ft,20'
SETTLE,SETTLE    Create new towns,ASENTAR
Create new towns,SETTLE    Create new towns,Crea nuevas ciudades
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINAR
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MAX AUDIENCIA
TODAY,PUNISHING KICK|TODAY,HOY
BOMBS,BOMBS|PER DAY,BOMBAS
PER DAY,BOMBS|PER DAY,AL DÍA
DAMAGE,DISRUPTION|DAMAGE,DAÑO
"If target used Power Attack, +2 on","If target used Power Attack, +2 on CMB and +2 to the save DC","Si el objetivo ha usado Ataque Poderoso, +2 a"
CMB,"If target used Power Attack, +2 on CMB and +2 to the save DC",BMC
and +2 to the save DC,"If target used Power Attack, +2 on CMB and +2 to the save DC",y +2 a la CD de Salv.
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,Objetivo de oportunidad
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,Ataque extra cuando un aliado golpea a distancia
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Ataque penetrante mayor
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Ignora RD hasta 
Low-light Vision,Low-light Vision| • Can see twice as far as normal in dim light| • Can see outdoors on a moonlit night as clearly as during the day| • Low-light vision is colour vision,Visión en la penumbra
• Can see twice as far as normal in dim light| • Can see outdoors on a moonlit night as clearly as during the day| • Low-light vision is colour vision,Low-light Vision| • Can see twice as far as normal in dim light| • Can see outdoors on a moonlit night as clearly as during the day| • Low-light vision is colour vision,• Puede ver el doble de lejos que en luz ténue|• Puede ver en el exterior con luna como si fuera de día|• Visión en la penumbra permite ver colores
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,INSPIRAR GRANDEZA
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,MAX AFECTADOS
Cost:,Cost: (1 pt to fix as a move action),Coste:
SINGLE,SINGLE ATTACK,ATAQUE
ATTACK,SINGLE ATTACK,SENCILLO
FLURRY ATTACK,FLURRY ATTACK BONUS,ATAQUE DE RÁFAGA
WIS,You may gain up to WIS|grit points each day,SAB
(which grants,(which grants +16 to Acrobatics checks for jumping),(el cual otorga
to Acrobatics checks for jumping),(which grants +16 to Acrobatics checks for jumping),a pruebas de Acrobacia para saltar)
BASE|ATTACK,BASE|ATTACK BONUS,BON|ATAQUE
BONUS,BASE|ATTACK BONUS,BASE
(which grants,(which grants +16 to Acrobatics),(que concede
to Acrobatics),(which grants +16 to Acrobatics),a Acrobacias)
STABILITY,"STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest",ESTABILIDAD
"On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","Con éxito, -1 al malestar o añade 1 pc; con fallo, +1 al malestar; Con fallo por +4, +d4 malestar"
INITIATIVE,INITIATIVE|BONUS,BONUS
BONUS,INITIATIVE|BONUS,INICIATIVA
URBAN,URBAN|BARBARIAN!,URBANO
saving throws against enchantment,+2 saving throws against enchantment,tiradas de salvación contra encantamientos
BONUS,MAGICAL TALENT|BONUS,BONUS
ARMOUR CLASS,ARMOUR CLASS|BONUS,Bonif.
BONUS,ARMOUR CLASS|BONUS,Clase de Armadura
Ignore the cover bonus to,Ignore the cover bonus to AC of targets partially immersed in water,Ignora el bonus de cobertura a
AC,Ignore the cover bonus to AC of targets partially immersed in water,CA
of targets partially immersed in water,Ignore the cover bonus to AC of targets partially immersed in water,de objetivos parcialmente inmersos en agua
RAGE!,RAGE!|Today,FURIA!
Today,RAGE!|Today,DIARIA
2 ki points,Reflex save to avoid damage - 2 ki points,2 puntos ki
Shot on the Run,Shot on the Run    Attack at any point during your move,Disparo a la carrera
Attack at any point during your move,Shot on the Run    Attack at any point during your move,Ataca en cualquier momento durante tu movimiento
ATTACK,ATTACK ACTIONS,ACCIONES
ACTIONS,ATTACK ACTIONS,ATAQUE
BONUS,AGILE|BONUS,BONUS
(which grants,(which grants +8 to Acrobatics checks for jumping),(el cual otorga
to Acrobatics checks for jumping),(which grants +8 to Acrobatics checks for jumping),a pruebas de Acrobacia para saltar)
"Prince, Princess or favoured subject","Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest","Príncipe, Princesa o sujeto favorito"
– May rule if the Ruler is absent. but must pass loyalty check or,"Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest","- Puede regir si el Regente está ausente, pero debe superar una prueba de lealtad o"
unrest,"Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest",malestar
FEAR EFFECT,FEAR EFFECTWILL BONUS,BONUS VOLUNTAD
WILL BONUS,FEAR EFFECTWILL BONUS,EFECTO MIEDO
1d2,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d2
1d3,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d3
1d4,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d4
1d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d6
1d8,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d8
2d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,2d6
3d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,3d6
4d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,4d6
6d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,6d6
8d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,8d6
12d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,12d6
Physical Resistance,Physical Resistance -4,Resistencia Física
TOTAL HIT DICE,MAX ANIMATE UNDEAD|TOTAL HIT DICE,DADOS DE GOLPE TOTALES
Class|Skills,Class|Skills|+3,Habilidades|de Clase
RAGE,Alcoholic drinks allow you to maintain RAGE for this round |without counting against your rounds per day.,FURIA
2 pt,Cost: 2 pt,2 punt
ft,20 ft  4 sq,ft
sq,20 ft  4 sq,c
RAGE!,EXTRA|RAGE!,FURIA!
d6,d6 +,d6
1 ki point,Enter up to 4 stances immediately - 1 ki point,1 punto ki
Haste,Haste    One extra attack at full bonus,Acelerar
One extra attack at full bonus,Haste    One extra attack at full bonus,Un ataque extra con bonus completo
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to 5/—,Golpe perforante
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to 5/—,Ignora reducción de daño hasta
Oversees international relations,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",Gestiona relaciones internacionales
"– If vacant,","Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",- Si vacante
stability and cannot issue Diplomatic or Exploration Edicts,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",estabilidad y no puede expedir Edictos Diplomáticos o de Exploración
CMB,"Bonus applies to CMB to attempt, |and CMD to resist, any of your |chosen manoeuvres.",BMC
CMD,"Bonus applies to CMB to attempt, |and CMD to resist, any of your |chosen manoeuvres.",BMC
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Combate con dos armas mayor
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Tercer ataque con arma en mano torpe
MELEE ATTACK,MELEE ATTACK|BONUS,BONO DE ATAQUE
BONUS,MELEE ATTACK|BONUS,MELEE
DISCOVERIES,DISCOVERIES|KNOWN,DESCUBRIMIENTOS
KNOWN,DISCOVERIES|KNOWN,CONOCIDOS
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Resistir la Atracción de la Naturaleza
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 a salvaciones contra fatas y plantas
RAGE,RAGE POWERS,FURIA
POWERS,RAGE POWERS,PODERES
HEXBLADE’S|CURSE,HEXBLADE’S|CURSE|PENALTY,HEXBLADE | MALDICION
PENALTY,HEXBLADE’S|CURSE|PENALTY,PENALIZACIÓN
PER DAY,BARRAGES|PER DAY,AL DÍA
1d8,Act normally|Babble incoherently|Hurt yourself with item in hand|  Damage = 1d8 + STR|Attack nearest creature,1d8
STR,Act normally|Babble incoherently|Hurt yourself with item in hand|  Damage = 1d8 + STR|Attack nearest creature,FUE
Level,100’+ 10’ × Level,Nivel
Combat Expertise,Combat Expertise  AC bonus,Pericia en combate
AC,Combat Expertise  AC bonus,CA
bonus,Combat Expertise  AC bonus,Bonificador
Damage Reduction 3/,Damage Reduction 3/―,Reducción de Daño 3/
Damage,Damage +1,Daño
