Original,Part of,Translation
"Become fey, gain damage reduction","Become fey, gain damage reduction 5 /cold iron",Stajesz się ist. baśń. z red. obrażeń
5 /cold iron,"Become fey, gain damage reduction 5 /cold iron",5 /z. żelazo
Intelligence,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",Inteligencja
"– If vacant,","Intelligence – If vacant, -4 economy and +1 unrest at upkeep",- Jeśli nieobecny
economy and,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",ekonomii i 
unrest at upkeep,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",zamieszek na utrzymanie
1 pt per range increment,Cost: 1 pt per range increment,1 ptk na przyrost zasięgu
Rapid Shot,"Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty",Szybki Strzał
"When making a full-round attack, get one additional attack in return for a -2 penalty","Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty","Wykonuje jeden dodatkowy atak dystansowy na rundę, z karą -2 do każdego"
GREATER,GREATER RAGE!,POTĘŻNIEJSZY
RAGE!,GREATER RAGE!,SZAŁ!
FORTITUDE,FORTITUDE|SAVE DC,WYTRWAŁOŚĆ
FORTITUDE|SAVE,FORTITUDE|SAVE DC,RZ. ORB. NA|WYTRWAŁOŚĆ
DC,FORTITUDE|SAVE DC,ST
Venom Immunity,Venom Immunity|Immune to all poisons,Odporność na jad
Immune to all poisons,Venom Immunity|Immune to all poisons,Odporny na wszystkie trucizny
ENERGY,ENERGY|ROLL,ENERGIA
ROLL,ENERGY|ROLL,RZUT
DURATION,BONUS|DURATION,CZAS TRWANIA
Damage Reduction 2/,Damage Reduction 2/―,Redukcja obrażeń 2/
SAVE,SAVE DC,RZ. OBR.
DC,SAVE DC,ST
ETHERIAL,ETHERIAL|ROUNDS,ETERYCZNOŚĆ
ROUNDS,ETHERIAL|ROUNDS,RUNDY
Chaotic:,Chaotic: +2 Loyalty,Chaos:
Loyalty,Chaotic: +2 Loyalty,Lojalność
DURATION,DURATION|PER DAY,CZAS TRWANIA
PER DAY,DURATION|PER DAY,NA DZIEŃ
DURATION,SURGING|EUPHORIA|DURATION,CZAS TRWANIA
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,KARA DO TESTÓW|Z PANCERZA
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,REDUKCJA
Damage Reduction 1/,Damage Reduction 1/―,Redukcja obrażeń 1/
MANOEUVRES,MANOEUVRES READIED,MANEWRY
READIED,MANOEUVRES READIED,PRZYGOTOWANE
DURATION,SERENITY|DURATION,CZAS TRWANIA
(which grants,(which grants +8 to Acrobatics),zapewnia
to Acrobatics),(which grants +8 to Acrobatics),do Zwinności
DAMAGE,DAMAGE BONUS,UNIKI
BONUS,DAMAGE BONUS,PREMIA
Fast Movement,Fast Movement +30 ft,Szybkie Poruszanie się
+30 ft,Fast Movement +30 ft,+9m
RAGE!,RAGE! 1/day,SZAŁ!
1/day,RAGE! 1/day,1/dzień
BASE|ATTACK,BASE|ATTACK BONUS,BAZOWA|PREMIA
BONUS,BASE|ATTACK BONUS,DO ATAKU
Heal your own wounds -,Heal your own wounds - 2 ki points,Ulecz swoje rany -
2 ki points,Heal your own wounds - 2 ki points,2 punkty ki
Tandem Trip,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",Przejażdżka Tandemem
"When ally is adjacent, roll twice for trip","Tandem Trip    When ally is adjacent, roll twice for trip CMB","Kiedy sprzymierzeniec jest w sąsiedztwie, rzuć dwa razy na "
CMB,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",PMB
HEXES,HEXES    Claim and abandon hexes,HEXY
Claim and abandon hexes,HEXES    Claim and abandon hexes,Zdobywanie i porzucanie hexów
PROHIBITED,PROHIBITED SCHOOLS,ZAKAZANE
SCHOOLS,PROHIBITED SCHOOLS,SZKOŁY
Fast Movement,Fast Movement +50 ft,Szybkie Poruszanie się
+50 ft,Fast Movement +50 ft,+15m
Bonus Spells,Bonus Spells|CHA,Czary Premiowe
CHA,Bonus Spells|CHA,CHA
BASE|ATTACK,BASE|ATTACK|BONUS,BAZOWA|PREMIA
BONUS,BASE|ATTACK|BONUS,DO ATAKU
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",Uderzenia bez broni dowolna wolną kończyną|Do gradu ciosów stosuje się pełną premię z
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",S
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",nawet w przypadku broni improwizowanej
Damage Reduction 3/,Damage Reduction 3/―,Redukcja obrażeń 3/
Slow Fall,Slow Fall 80 ft,Powolny Upadek
80 ft,Slow Fall 80 ft,24m
TOUCH,TOUCH ARMOUR CLASS,DOTYK
ARMOUR CLASS,TOUCH ARMOUR CLASS,KLASA PANCERZA
Two-weapon Fighting,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Walka Dwoma Orężami
Penalty for wielding two weapons reduced to -4 / -4,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Kary za dzierżenie dwóch broni zmniejszone do -4 / -4
REFLEX|SAVE,REFLEX|SAVE DC,RZ. OBR.|REFLEKS
DC,REFLEX|SAVE DC,ST
RAGE!,RAGE! POWERS |KNOWN,SZAŁ!
POWERS,RAGE! POWERS |KNOWN,MOCE
KNOWN,RAGE! POWERS |KNOWN,ZNANE
Fast Movement,Fast Movement +40 ft,Szybkie Poruszanie się
+40 ft,Fast Movement +40 ft,+12m
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,MAKSYMALNA|PREMIA ZE ZR
BONUS,MAX ARMOUR|DEX BONUS,PREMIA
LEVEL,MAX MANOEUVRE LEVEL,POZIOM
ATTACK,ATTACK|PENALTY,ATAK
PENALTY,ATTACK|PENALTY,KARA
Masterwork,Masterwork     Doesn’t stack with magic bonus,Mistrzowska
Doesn’t stack with magic bonus,Masterwork     Doesn’t stack with magic bonus,Nie nakłada się z magiczną premią
POWERS,POWERS|KNOWN,MOCE
KNOWN,POWERS|KNOWN,ZNANE
Enforce law and order,"Enforce law and order – If present, -1 unrest at upkeep",Egzekwuje prawo i porządek
"– If present,","Enforce law and order – If present, -1 unrest at upkeep","- Jeśli obecny, "
unrest at upkeep,"Enforce law and order – If present, -1 unrest at upkeep",zamieszek na utrzymanie
CHANNEL,CHANNEL PER DAY,KIERUNKOWANIE
FLAT-FOOTED,FLAT-FOOTED AC,NIEPRZYGOTOWANY
AC,FLAT-FOOTED AC,KP
COMBAT|MANEUVRE,COMBAT|MANEUVRE|BONUS,MANEWRY|BOJOWE
BONUS,COMBAT|MANEUVRE|BONUS,PREMIA
RAGE!,RAGE!|Duration,SZAŁ!
Duration,RAGE!|Duration,CZAS
ENHANCEMENT,MAX WEAPON|ENHANCEMENT,WZMOCNIENIE
Evil:,Evil: +2 Economy,Zło:
Economy,Evil: +2 Economy,Ekonomia
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Przechodzi w stan eteryczny na minutę - 
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 punkty ki
Extend Spell,Extend Spell  +1,Poszerzenie Czaru
DURATION,NAUSEATED|DURATION,CZAS TRWANIA
Critical Mastery,Critical Mastery    Apply two critical effects at once,Mistrzostwo Krytyków
Apply two critical effects at once,Critical Mastery    Apply two critical effects at once,Stosuje dwa krytyczne efekty na raz
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+4 do wszystkich rzutów obronnych|+4 premii unikowej do
AC,+ 4 to all saving throws|+ 4 dodge bonus to AC,KP
FOES,FOES|PER DAY,WROGOWIE
PER DAY,FOES|PER DAY,NA DZIEŃ
Manyshot,"Manyshot    When making a full-round attack, your first attack has two arrows",Wielostrzał
"When making a full-round attack, your first attack has two arrows","Manyshot    When making a full-round attack, your first attack has two arrows",Wystrzelasz dwie strzały podczas pierwszego ataku
2 ki points,Heal somebody else’s wounds - 2 ki points,2 punkty ki
CMD,CMD BONUS,OMB
BONUS,CMD BONUS,PREMIA
d6,d6 +,K6
DURATION,FRIENDLY ATTITUDE|DURATION,CZAS TRWANIA
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,WARTOŚĆ|BUDOWY
BONUS,CONSTITUTION|SCORE|BONUS,PREMIA
Seize the Moment,Seize the Moment    AoO when ally confirms critical hit,Wyczucie Momentu
AoO when ally confirms critical hit,Seize the Moment    AoO when ally confirms critical hit,AO kiedy sprzymierzeniec potwierdzi krytyka
TAKE 20,TAKE 20 PER DAY,PRZYJMIJ 20
PER DAY,TAKE 20 PER DAY,NA DZIEŃ
Forbidden|During,Forbidden|During|RAGE!,Niewykonalne|podczas
RAGE!,Forbidden|During|RAGE!,SZAŁU!
DURATION,MISLEAD: GREATER|INVISIBILITY|DURATION,CZAS TRWANIA
TERRAIN,"TERRAIN    Build farms, roads, mines etc",TEREN
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Budowa farm, dróg, kopalń itp."
SMITING ATTACK,SMITING ATTACK|BONUS,UGODZENIE
BONUS,SMITING ATTACK|BONUS,PREMIA
HEALING,HEALING|PER DAY,LECZENIE
PER DAY,HEALING|PER DAY,DZIENNIE
Improved Back to Back,Improved Back to Back    +2 to ally’s AC,Doskonalsze Plecy w Plecy
to ally’s,Improved Back to Back    +2 to ally’s AC,do sprzymierzeńca
AC,Improved Back to Back    +2 to ally’s AC,KP
Broken Wing Gambit,"Broken Wing Gambit    Grant +2/+2, get attack of opportunity",Gambit Złamanego Skrzydła
Grant,"Broken Wing Gambit    Grant +2/+2, get attack of opportunity",Przyznaje
", get attack of opportunity","Broken Wing Gambit    Grant +2/+2, get attack of opportunity",zdobywa atak okazyjny
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ulepszony Precyzyjny Strzał
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Zignoruj kary za częściową osłonę lub częściowe ukrywanie
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Ponadczasowe ciało
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","Nie starzeje się, nie może być postarzany za pomocą magii"
Devastating Strike,Devastating Strike    +2 per extra die,Druzgocące Uderzenie
per extra die,Devastating Strike    +2 per extra die,na dodatkową kość
FLAT-FOOTED,FLAT-FOOTED|CMD,NIEPRZYGOTOWANY
CMD,FLAT-FOOTED|CMD,OMB
Lightfoot,Lightfoot|Cannot be detected by tremorsense,Lekki krok
Lose,"Lose 1000 xp, receive Heal on reaching 0 hp",Strać
1000 xp,"Lose 1000 xp, receive Heal on reaching 0 hp",1000 PD
", receive Heal on reaching","Lose 1000 xp, receive Heal on reaching 0 hp",otrzymaj Uzdrowienie przy
0 hp,"Lose 1000 xp, receive Heal on reaching 0 hp",0 PW
DURATION,FRIGHTENED|DURATION,CZAS TRWANIA
WILD EMPATHY,WILD EMPATHY|BONUS,WIĘŹ Z DZICZĄ
BONUS,WILD EMPATHY|BONUS,PREMIA
RAGE!,RAGE!|PER DAY,SZAŁ!
PER DAY,RAGE!|PER DAY,NA DZIEŃ
level,→ level,poziom
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,WIEDZA BARDÓW
BONUS,BARDIC KNOWLEDGE |BONUS,PREMIA
Slow Fall,Slow Fall 30 ft,Powolny Upadek
30 ft,Slow Fall 30 ft,9m
Great Cleave,Great Cleave    Any number of extra attacks per round,Większe Rozszczepienie
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Dowolna liczba dodatkowych ataków na rundę
(+2 to Strength score),Morale bonus to your mount’s strength|modifier during RAGE!|(+2 to Strength score),(+2 wartości Siły)
+1d6,Damage +1d6,+ 1k6
Point Blank Shot,Point Blank Shot    +1 to attack and damage within first range increment,Bezpośredni strzał
+1 to attack and damage within first range increment,Point Blank Shot    +1 to attack and damage within first range increment,+1 do ataku i obrażeń w standardowym zasięgu
Level,400’+ 40’ × Level,Poziom
Double Slice,Double Slice    Add your full STR to damage with an off-hand weapon,Podwójne Cięcie
Add your full,Double Slice    Add your full STR to damage with an off-hand weapon,Dodaj pełną premię z
STR,Double Slice    Add your full STR to damage with an off-hand weapon,S
to damage with an off-hand weapon,Double Slice    Add your full STR to damage with an off-hand weapon,do obrażeń korzystając z improwizowanej broni. 
POINTS,MIND BLADE SPECIAL ABILITY POINTS,PUNKTY
KI POOL,KI POOL|CAPACITY,UDERZENIE KI
CAPACITY,KI POOL|CAPACITY,ILOŚĆ
CASTER LEVEL,CASTER LEVEL|CHECK DC,POZIOM CZARUJĄCEGO
CHECK DC,CASTER LEVEL|CHECK DC,STOPIEŃ TRUDNOŚCI
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Doskonalsza Jednoczesna Finta
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Kiedy sprzymierzeniec wykonuje fintę, zyskuje AO"
DURATION,SCENT ABIILITY|DURATION,CZAS TRWANIA
EXOTIC WEAPON ATTACK,EXOTIC WEAPON ATTACK BONUS,ATAK BRONIĄ EGZOTYCZNĄ
BONUS,EXOTIC WEAPON ATTACK BONUS,PREMIA
Ruler of a colony or vassal state,"Ruler of a colony or vassal state – May also take any role for colony, with 1 less benefit",Rządzi kolonią lub lennem
stability,-1 stability,"stabilności,"
DURATION,RAGE  DURATION|PER DAY,CZAS TRWANIA
"Baron, Duke, King or Queen","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Książę, Król lub Królowa"
"– If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Jeśli wolne, królestwu automatycznie nie powodzi się rzut na rozkazy oraz nie może zdobywać i rozwijać hexów."
EXTRA,EXTRA DAMAGE,BONUS
DAMAGE,EXTRA DAMAGE,OBRAŻEŃ
Death or Glory,"Death or Glory   +4 (+1 at levels 11, 16, 20)",Śmierć lub Chwała
"at levels 11, 16, 20)","Death or Glory   +4 (+1 at levels 11, 16, 20)","na 11, 16, 20 poziomie)"
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Precyzyjny Strzał
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Bez kary -4 za strzelanie do walczących wręcz
RESISTANCE,RESISTANCE|DURATION,ODPORNOŚĆ
Duration,Duration +1 round,Czas Trwania
CURSES,CURSES|PER DAY,KLĄTWY
PER DAY,CURSES|PER DAY,NA DZIEŃ
"loyalty,","+1 loyalty, +1bp consumption","lojalności,"
+1bp,"+1 loyalty, +1bp consumption",+1pb
consumption,"+1 loyalty, +1bp consumption",konsumpcji
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,KLASA|PANCERZA
PENALTY,ARMOUR|CLASS|PENALTY,KARA
INSTANT METAMAGIC,INSTANT METAMAGIC|USES PER DAY,NATYCHMIASTOWA METAMAGIA
USES PER DAY,INSTANT METAMAGIC|USES PER DAY,UŻYĆ NA DZIEŃ
NEGATIVE LEVELS,NEGATIVE LEVELS|PER DAY,NEGATYWNE POZIOMY
