Original,Part of,Translation
"DC 20|The bird flies to a high vantage point, then next round makes a charge attack. If successful, this deals|2d4 damage from a bite, with a ×4 critical modifier, and the target is staggered for a round.","Swooping Charge  DC 20|The bird flies to a high vantage point, then next round makes a charge attack. If successful, this deals|2d4 damage from a bite, with a ×4 critical modifier, and the target is staggered for a round.","DC 20|The bird flies to a high vantage point, then next round makes a charge attack. If successful, this deals|2d4 damage from a bite, with a ×4 critical modifier, and the target is staggered for a round."
Gain two extra standard actions -,Gain two extra standard actions - 6 ki points,Gain two extra standard actions -
6 ki points,Gain two extra standard actions - 6 ki points,6 ki points
PERFORMANCE,PERFORMANCE|BONUS,PERFORMANCE
BONUS,PERFORMANCE|BONUS,BONUS
ESSENTIA,ESSENTIA|POOL,ESSENTIA
POOL,ESSENTIA|POOL,POOL
DC,DC    5,DC
POINTS,POINTS|PER DAY,POINTS
PER DAY,POINTS|PER DAY,PER DAY
= 1d8,= 1d8 +,= 1d8
BREATH,BREATH|DURATION,BREATH
DURATION,BREATH|DURATION,DURATION
Desert Native,Desert Native|Bonus in desert terrain,Desert Native
Bonus in desert terrain,Desert Native|Bonus in desert terrain,Bonus in desert terrain
Way of the Weapon Master,Way of the Weapon Master 2,Way of the Weapon Master
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to    5/—,Penetrating Strike
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to    5/—,Ignore damage reduction up to
Tongue of the Sun and Moon,Tongue of the Sun and Moon|Speak with any living creature,Tongue of the Sun and Moon
Speak with any living creature,Tongue of the Sun and Moon|Speak with any living creature,Speak with any living creature
TRAP,TRAP SENSE,TRAP
SENSE,TRAP SENSE,SENSE
More newfound arcana,More newfound arcana|1 bonus 2nd-level spell,More newfound arcana
1 bonus 2nd-level spell,More newfound arcana|1 bonus 2nd-level spell,1 bonus 2nd-level spell
"Send your mind to the astral plane to ask the spirits advice,|as if using","Send your mind to the astral plane to ask the spirits advice,|as if using contact other plane.","Send your mind to the astral plane to ask the spirits advice,|as if using"
contact other plane,"Send your mind to the astral plane to ask the spirits advice,|as if using contact other plane.",contact other plane
Precise Strike,Precise Strike    When flanking,Precise Strike
When flanking,Precise Strike    When flanking,When flanking
-1 burn,-1 burn when combining infusions.,-1 burn
when combining infusions.,-1 burn when combining infusions.,when combining infusions.
Flurry form,Flurry form|Become a swirling colum of snow,Flurry form
Become a swirling colum of snow,Flurry form|Become a swirling colum of snow,Become a swirling colum of snow
(which grants,(which grants +12 to Acrobatics),(which grants
to Acrobatics),(which grants +12 to Acrobatics),to Acrobatics)
level ÷ 2,→ level ÷ 2,level ÷ 2
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Greater Penetrating Strike
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Ignore damage reduction up to
Pistol-whip,"Pistol-whip    Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone",Pistol-whip
"Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone","Pistol-whip    Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone","Surprise melee attack. One handed: d6/d4 Two handed: d10/d8Also, CMB to knock prone"
sq,6 sq,sq
Resist Subterranean Corruption,Resist Subterranean Corruption|+2 to saves against the oozes and abberations,Resist Subterranean Corruption
+2 to saves against the oozes and abberations,Resist Subterranean Corruption|+2 to saves against the oozes and abberations,+2 to saves against the oozes and abberations
HEALING,HEALING|HIT POINTS,HEALING
HIT POINTS,HEALING|HIT POINTS,HIT POINTS
ARTIFICER KNOWLEDGE,ARTIFICER KNOWLEDGE|BONUS,ARTIFICER KNOWLEDGE
BONUS,ARTIFICER KNOWLEDGE|BONUS,BONUS
Receive enlightenment while you rest -,Receive enlightenment while you rest - 2 ki points,Receive enlightenment while you rest -
2 ki points,Receive enlightenment while you rest - 2 ki points,2 ki points
INITIATOR,INITIATOR|LEVEL,INITIATOR
LEVEL,INITIATOR|LEVEL,LEVEL
Alcoholic drinks allow you to maintain,Alcoholic drinks allow you to maintain RAGE for this round |without counting against your rounds per day.,Alcoholic drinks allow you to maintain
RAGE,Alcoholic drinks allow you to maintain RAGE for this round |without counting against your rounds per day.,RAGE
for this round |without counting against your rounds per day.,Alcoholic drinks allow you to maintain RAGE for this round |without counting against your rounds per day.,for this round |without counting against your rounds per day.
PUNISHING KICK,PUNISHING KICK|PER DAY,PUNISHING KICK
PER DAY,PUNISHING KICK|PER DAY,PER DAY
Oversees international relations,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",Oversees international relations
"– If vacant,","Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts","– If vacant,"
stability and cannot issue Diplomatic or Exploration Edicts,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",stability and cannot issue Diplomatic or Exploration Edicts
CURRENT,CURRENT|FEATS,CURRENT
FEATS,CURRENT|FEATS,FEATS
Extreme Endurance,Extreme Endurance 2,Extreme Endurance
"As a swift action, gain","As a swift action, gain +4 insight bonus to any skill or ability check, at a cost of 1 ki point","As a swift action, gain"
"insight bonus to any skill or ability check, at a cost of","As a swift action, gain +4 insight bonus to any skill or ability check, at a cost of 1 ki point","insight bonus to any skill or ability check, at a cost of"
1 ki point,"As a swift action, gain +4 insight bonus to any skill or ability check, at a cost of 1 ki point",1 ki point
Attack range,"Attack range 30ft, half damage to targets of the wrong type",Attack range
30ft,"Attack range 30ft, half damage to targets of the wrong type",30ft
", half damage to targets of the wrong type","Attack range 30ft, half damage to targets of the wrong type",", half damage to targets of the wrong type."
BURN,BURN|PER ROUND,BURN
PER ROUND,BURN|PER ROUND,PER ROUND
HEALING,HEALING|POINTS,HEALING
POINTS,HEALING|POINTS,POINTS
Two-weapon Defence,Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),Two-weapon Defense
+1 shield bonus to AC for using two weapons (+2 if fighting defensively),Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),+1 shield bonus to AC for using two weapons (+2 if fighting defensively)
TRICKS,TRICKS|KNOWN,TRICKS
KNOWN,TRICKS|KNOWN,KNOWN
DISCOVERIES,DISCOVERIES|KNOWN,DISCOVERIES
KNOWN,DISCOVERIES|KNOWN,KNOWN
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,MAX ARMOR|DEX
BONUS,MAX ARMOUR|DEX BONUS,BONUS
Two-weapon Rend,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",Two-weapon Rend
"If you hit with both weapons, do an extra 1d10 + (","Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage","If you hit with both weapons, do an extra 1d10 + ("
STR,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",STR
× 1½) damage,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",× 1½) damage
STREETWISE,STREETWISE|BONUS,STREETWISE
BONUS,STREETWISE|BONUS,BONUS
REDIRECTION,REDIRECTION|PER DAY,REDIRECTION
PER DAY,REDIRECTION|PER DAY,PER DAY
"+5 to Survival checks to avoid becoming lost, and Intelligence checks to escape a","+5 to Survival checks to avoid becoming lost, and Intelligence checks to escape a maze spell.","+5 to Survival checks to avoid becoming lost, and Intelligence checks to escape a"
maze,"+5 to Survival checks to avoid becoming lost, and Intelligence checks to escape a maze spell.",maze
spell.,"+5 to Survival checks to avoid becoming lost, and Intelligence checks to escape a maze spell.",spell.
Allure,Allure ― Penalty applies to initiative and Perception.,Allure
― Penalty applies to initiative and Perception.,Allure ― Penalty applies to initiative and Perception.,― Penalty applies to initiative and Perception.
Strength Score|Penalty:,Strength Score|Penalty: -2,Strength Score|Penalty:
Bonus to Reflex saves and,"Bonus to Reflex saves and AC against traps,and to Perception to avoid being surprised by a foe.",Bonus to Reflex saves and
AC,"Bonus to Reflex saves and AC against traps,and to Perception to avoid being surprised by a foe.",AC
"against traps,and to Perception to avoid being surprised by a foe.","Bonus to Reflex saves and AC against traps,and to Perception to avoid being surprised by a foe.","against traps,and to Perception to avoid being surprised by a foe."
INSIGHT,INSIGHT BONUS,INSIGHT
BONUS,INSIGHT BONUS,BONUS
SACRED,SACRED|BONUS,SACRED
BONUS,SACRED|BONUS,BONUS
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,BARDIC KNOWLEDGE
BONUS,BARDIC KNOWLEDGE |BONUS,BONUS
WILL SAVE,WILL SAVE|BONUS,WILL SAVE
BONUS,WILL SAVE|BONUS,BONUS
TEMP ATTACK,TEMP ATTACK|BONUS,TEMP ATTACK
BONUS,TEMP ATTACK|BONUS,BONUS
Tongues,Tongues   Speak and understand any language,Tongues
Speak and understand any language,Tongues   Speak and understand any language,Speak and understand any language
DANGER SENSE,DANGER SENSE|BONUS,DANGER SENSE
BONUS,DANGER SENSE|BONUS,BONUS
Miasma,"Miasma|Nearby creatures, fey and plants are sickened",Miasma
"Nearby creatures, fey and plants are sickened","Miasma|Nearby creatures, fey and plants are sickened","Nearby creatures, fey, and plants are sickened"
Plaguebearer,Plaguebearer|Attackers become diseased,Plaguebearer
Attackers become diseased,Plaguebearer|Attackers become diseased,Attackers become diseased
SPELL,SPELL|RESISTANCE,SPELL
RESISTANCE,SPELL|RESISTANCE,RESISTANCE
Drunken Resilience,Drunken Resilience 2/―,Drunken Resilience
Enter up to 4 stances immediately -,Enter up to 4 stances immediately - 1 ki point,Enter up to 4 stances immediately -
1 ki point,Enter up to 4 stances immediately - 1 ki point,1 ki point
KNOWLEDGE,KNOWLEDGE PER DAY,KNOWLEDGE
PER DAY,KNOWLEDGE PER DAY,PER DAY
SPELL DC,SPELL DC|BONUS,SPELL DC
BONUS,SPELL DC|BONUS,BONUS
SUPERSTITIOUS,SUPERSTITIOUS|BARBARIAN!,SUPERSTITIOUS
BARBARIAN!,SUPERSTITIOUS|BARBARIAN!,BARBARIAN!
Mystic Presence,Mystic Presence +2,Mystic Presence
"Reroll an Acrobatics, Climb or Fly check at","Reroll an Acrobatics, Climb or Fly check at -5.You must take the new result.","Reroll an Acrobatics, Climb or Fly check at"
.You must take the new result.,"Reroll an Acrobatics, Climb or Fly check at -5.You must take the new result.",.You must take the new result.
