Original,Part of,Translation
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,協調戰技
to,Coordinated Manoeuvres    +2 to CMB,於
CMB,Coordinated Manoeuvres    +2 to CMB,CMB
TOUCH,TOUCH ARMOUR CLASS,接觸
ARMOUR CLASS,TOUCH ARMOUR CLASS,防禦等級
Knowledge -,Knowledge - INT|Profession - WIS,知識 -
INT,Knowledge - INT|Profession - WIS,INT
Profession -,Knowledge - INT|Profession - WIS,專業 - 
WIS,Knowledge - INT|Profession - WIS,WIS
ARMOUR,ARMOUR CLASS,防禦
CLASS,ARMOUR CLASS,等級
Spire Walker,"Spire Walker|Endure cold, immune to altitude sickness,|keep dexterity bonus when climbing",峰頂行者
"Endure cold, immune to altitude sickness,|keep dexterity bonus when climbing","Spire Walker|Endure cold, immune to altitude sickness,|keep dexterity bonus when climbing",忽略寒冷氣候所造成的影響，免疫高海拔症，|攀爬時保有敏捷加值
RAGE!,RAGE! POWERS,狂暴!
POWERS,RAGE! POWERS,之力
(which grants,(which grants +24 to Acrobatics checks for jumping),(獲得
to Acrobatics checks for jumping),(which grants +24 to Acrobatics checks for jumping),種族加值於跳躍特技檢定)
Venom Immunity,Venom Immunity|Immune to all poisons,毒素免疫
Immune to all poisons,Venom Immunity|Immune to all poisons,免疫所有毒素
Great Cleave,Great Cleave    Any number of extra attacks per round,大順勢斬
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,每輪任意次額外攻擊
FORTITUDE,FORTITUDE SAVE,強韌
SAVE,FORTITUDE SAVE,豁免
Damage Reduction 1/,Damage Reduction 1/―,傷害減免1 / —
(which grants,(which grants +20 to Acrobatics checks for jumping),(獲得
to Acrobatics checks for jumping),(which grants +20 to Acrobatics checks for jumping),種族加值於跳躍特技檢定)
CON,+ CON| per level,CON
per level,+ CON| per level,每等級
Shake It Off,Shake It Off     +1 to all saving throws per adjacent ally,擺脫困境
to all saving throws per adjacent ally,Shake It Off     +1 to all saving throws per adjacent ally,全豁免值，每個鄰接同伴一次
AC,AC BONUS,AC
BONUS,AC BONUS,加值
"stability,","+4 stability, +8bp consumption","穩定,"
+8bp,"+4 stability, +8bp consumption",+8bp
consumption,"+4 stability, +8bp consumption",消耗
Mighty,Mighty RAGE!,強力
RAGE!,Mighty RAGE!,狂暴!
CHANNEL,CHANNEL|PER DAY,每日
PER DAY,CHANNEL|PER DAY,引導
TALENTS,TALENTS|KNOWN,已知
KNOWN,TALENTS|KNOWN,天賦
(which grants,(which grants +4 to Acrobatics checks for jumping),(獲得
to Acrobatics checks for jumping),(which grants +4 to Acrobatics checks for jumping),種族加值於跳躍特技檢定)
Mystic Wisdom,Mystic Wisdom 2,醍醐灌頂
"On a critical, Fort (DC 10 + ½ level +","On a critical, Fort (DC 10 + ½ level + DEX) or die",造成重擊時，通過強韌(DC 10 +
DEX,"On a critical, Fort (DC 10 + ½ level + DEX) or die",DEX
) or die,"On a critical, Fort (DC 10 + ½ level + DEX) or die",+ ½ 等級)或死亡
saving throws against enchantment,+2 saving throws against enchantment,對抗惑控系的豁免
Craft -,Craft - INT|Perform - CHA,工藝 -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,表演 - 
CHA,Craft - INT|Perform - CHA,CHA
Class|Skills,Class|Skills|+3,本職|技能|+3
WILL,WILL SAVE DC,意志
SAVE DC,WILL SAVE DC,豁免DC
Wild Empathy,Wild Empathy|Improve the attitude of an animal,野性認同
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,改善一隻動物的態度
WILL,WILL SAVE,意志
SAVE,WILL SAVE,豁免
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,疾風連擊
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,基本攻擊加值
Cleave,Cleave    Extra attack if you hit,順勢斬
Extra attack if you hit,Cleave    Extra attack if you hit,擊中敵人獲得額外攻擊
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,特技DC = 對手的
CMD,Acrobatics DC = Opponent’s CMD,CMD
FLAT-FOOTED,FLAT-FOOTED|CMD,措手不及
CMD,FLAT-FOOTED|CMD,CMD
Level,25’+ 5’ × (Level ÷ 2),等級
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,|戰技
BONUS,COMBAT|MANOEUVRE|BONUS,加值
ETHERIAL,ETHERIAL|ROUNDS,靈體狀態
ROUNDS,ETHERIAL|ROUNDS,輪
Bonus Spells,Bonus Spells|WIS,獎勵法術
WIS,Bonus Spells|WIS,WIS
AC,-2 AC   -8 AC against yourself,AC
against yourself,-2 AC   -8 AC against yourself,當目標被你攻擊
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,大師之擊
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,強韌DC
(which grants,(which grants +8 to Acrobatics checks for jumping),(獲得
to Acrobatics checks for jumping),(which grants +8 to Acrobatics checks for jumping),種族加值於跳躍特技檢定)
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|DEFENCE,|戰技
DEFENCE,COMBAT|MANOEUVRE|DEFENCE,防護
Fast Movement,Fast Movement +60 ft,快速移動
+60 ft,Fast Movement +60 ft,+60 呎
Cost:,Cost: 1 pt,花費
1 pt,Cost: 1 pt,1 點
-1 burn,-1 burn when using a composite blast.,-1 超載
when using a composite blast.,-1 burn when using a composite blast.,在使用複合念襲時
Seize the Moment,Seize the Moment    AoO when ally confirms critical hit,抓準時機
AoO when ally confirms critical hit,Seize the Moment    AoO when ally confirms critical hit,同伴確認重擊後進行藉機攻擊
Tandem Trip,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",接力絆摔
"When ally is adjacent, roll twice for trip","Tandem Trip    When ally is adjacent, roll twice for trip CMB",鄰接同伴時拌摔檢定雙骰取高
CMB,"Tandem Trip    When ally is adjacent, roll twice for trip CMB",CMB
FAMILIAR,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,魔寵
ANIMAL COMPANION,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,動物夥伴
MOUNT,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,坐騎
SUMMONED CREATURE,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,召喚生物
Mystic Wisdom,Mystic Wisdom 3,醍醐灌頂
Lose,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",失去
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DEX
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",加值於
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",AC
-4 on,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",-4 基於
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",STR
"skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",技能，所有對手|視為處於全隱蔽(50%失手率)，|DC 10的特技檢定才能全速移動
USES,USES|PER DAY,每日
PER DAY,USES|PER DAY,可用次數
Lose,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",失去
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DEX
bonus to AC; -2,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",加值於AC; -2
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",加值於
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",AC
-4 on,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",-4 基於
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",STR
and,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",和
"skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",技能，所有對手|視為處於全隱蔽(50%失手率)，|DC 10的特技檢定才能全速移動
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,見縫插針
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,同伴遠程攻擊命中時你額外攻擊
SPECIALITY,SPECIALITY SCHOOL,專精
SCHOOL,SPECIALITY SCHOOL,學派
Bonus Spells,Bonus Spells|CHA,獎勵法術
CHA,Bonus Spells|CHA,CHA
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,措手不及
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,防禦等級
CHANNEL,CHANNEL|RANGE,引導
RANGE,CHANNEL|RANGE,射程
RAGE!,RAGE!|Modifier,狂暴!
Modifier,RAGE!|Modifier,調整值
Lookout,Lookout    Act in surprise round if ally can act,警備
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,如果盟友能在突襲輪行動，你也能
BASE|ATTACK,BASE|ATTACK BONUS,基本|攻擊
BONUS,BASE|ATTACK BONUS,加值
-1 burn,-1 burn when combining infusions.,-1 超載
when combining infusions.,-1 burn when combining infusions.,在使用注能原力時
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,該輪不能行動|AC
DEX,No action this round|Lose DEX bonus to AC; -2 AC,失去
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,DEX
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,加值 ; -2
AC,No action this round|Lose DEX bonus to AC; -2 AC,AC
INITIATIVE,INITIATIVE BONUS,先攻
BONUS,INITIATIVE BONUS,加值
STRENTH|SCORE,STRENTH|SCORE|BONUS,力量|屬性值
BONUS,STRENTH|SCORE|BONUS,加值
Blightblooded,Blightblooded|Immune to all diseases and sickening effects,災疫之血
Immune to all diseases and sickening effects,Blightblooded|Immune to all diseases and sickening effects,免疫所有疾病及噁心、反胃效果
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,盔甲檢定|減值
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,降低
WILL|SAVE,WILL|SAVE|BONUS,意志|豁免
BONUS,WILL|SAVE|BONUS,加值
"loyalty,","+1 loyalty, +1bp consumption","忠誠,"
+1bp,"+1 loyalty, +1bp consumption",+1bp
consumption,"+1 loyalty, +1bp consumption",消耗
Swap Places,Swap Places    Switch places with an ally,換位
Switch places with an ally,Swap Places    Switch places with an ally,與相鄰的盟友交換位置
Critical Mastery,Critical Mastery    Apply two critical effects at once,重擊熟稔
Apply two critical effects at once,Critical Mastery    Apply two critical effects at once,可以應用兩項重擊專長
Wild Shape,Wild Shape|Become any small or medium animal,自然變身
Become any small or medium animal,Wild Shape|Become any small or medium animal,變身為小型或中型動物
Pack Attack,Pack Attack    Ally’s attack allows you to take 5ft step,機動攻擊
Ally’s attack allows you to take,Pack Attack    Ally’s attack allows you to take 5ft step,同伴的攻擊使你
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,5呎
step,Pack Attack    Ally’s attack allows you to take 5ft step,快步
Fast Movement,Fast Movement +20 ft,快速移動
+20 ft,Fast Movement +20 ft,+20 呎
DAMAGE,DAMAGE|REDUCTION,傷害
REDUCTION,DAMAGE|REDUCTION,減免
Targeting,"Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall",精確瞄準
"As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall",一個整輪動作，攻擊目標身體的特定位置: 手: 掉落持有物(不受傷害) 頭: 困惑1輪 腳: 被擊倒 軀幹: 重擊範圍翻倍 翅: 開始墜落
ATTACK,ATTACK ACTIONS,攻擊
ACTIONS,ATTACK ACTIONS,動作
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,盾牆
to,Shield Wall    +1 / +2 to AC when both using shields,
AC,Shield Wall    +1 / +2 to AC when both using shields,AC
when both using shields,Shield Wall    +1 / +2 to AC when both using shields,於鄰接同伴也用盾時
CMB,+1 CMB and CMD for selected combat manoeuvres,CMB
and,+1 CMB and CMD for selected combat manoeuvres,和
CMD,+1 CMB and CMD for selected combat manoeuvres,CMD
for selected combat manoeuvres,+1 CMB and CMD for selected combat manoeuvres,在指定的戰技上
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,護甲最大
BONUS,MAX ARMOUR|DEX BONUS,敏捷加值
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,特技DC = 5 + 對手的
CMD,Acrobatics DC = 5 + Opponent’s CMD,CMD
+1 dodge bonus to touch,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",+1 閃避加值在接觸
AC,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",AC
and,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",和
CMD,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",CMD
"when wearing|no or light armour, unencumbered and not using a shield","+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",，必須穿輕甲以下、不持盾且無負重
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",精通聯合虛招
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO",同伴虛招成功時引發你的藉機攻擊
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,體質|屬性值
BONUS,CONSTITUTION|SCORE|BONUS,加值
Damage Reduction 5/,Damage Reduction 5/―,傷害減免5 / —
Fast Movement,Fast Movement +10 ft,快速移動
+10 ft,Fast Movement +10 ft,+10 呎
HEALING,HEALING|HIT POINTS,治療
HIT POINTS,HEALING|HIT POINTS,生命值
Strength Score|Penalty:,Strength Score|Penalty: -2,力量屬性值|減值:
FORTITUDE,FORTITUDE|SAVE DC,強韌
FORTITUDE|SAVE,FORTITUDE|SAVE DC,強韌|豁免
SAVE DC,FORTITUDE|SAVE DC,豁免DC
DC,FORTITUDE|SAVE DC,DC
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,敏捷屬性值|減值:
Spell Save DC = 10 +,Spell Save DC = 10 + CHA + Spell Level,法術豁免DC = 10 +
CHA,Spell Save DC = 10 + CHA + Spell Level,CHA
+ Spell Level,Spell Save DC = 10 + CHA + Spell Level,+ 法術環數
RAGE!,RAGE! POWERS |KNOWN,已知
POWERS,RAGE! POWERS |KNOWN,狂暴
KNOWN,RAGE! POWERS |KNOWN,之力
AC,-2 AC   -6 AC against yourself,AC
against yourself,-2 AC   -6 AC against yourself,當目標被你攻擊
(which grants,(which grants +16 to Acrobatics checks for jumping),(獲得
to Acrobatics checks for jumping),(which grants +16 to Acrobatics checks for jumping),種族加值於跳躍特技檢定)
= 1d8,= 1d8 +,= 1d8
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,奧術失敗機率
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,閾值
"economy,","+3 economy, -4 loyalty","經濟,"
loyalty,"+3 economy, -4 loyalty",忠誠
Arctic Endurance,"Arctic Endurance|Endure cold, immune to dazzling",極圈耐力
"Endure cold, immune to dazzling","Arctic Endurance|Endure cold, immune to dazzling",忽略寒冷氣候所造成的影響，免疫目眩
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",武僧的攻擊可以用雙拳、肘、膝或腳|疾風連擊套用完整的
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",STR
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",加值
AC,-2 AC   -4 AC against yourself,AC
against yourself,-2 AC   -4 AC against yourself,當目標被你攻擊
Shaded Vision,"Shaded Vision|Immune to blinding, dazzling; +2 to savesagainst gaze attacks, figments and patterns",陰影視覺
"Immune to blinding, dazzling; +2 to savesagainst gaze attacks, figments and patterns","Shaded Vision|Immune to blinding, dazzling; +2 to savesagainst gaze attacks, figments and patterns",免疫目盲和目眩效果，對抗凝視和幻術學派法術有+2加值
Improved Back to Back,Improved Back to Back    +2 to ally’s AC,精通背靠背
to ally’s,Improved Back to Back    +2 to ally’s AC,於同伴的
AC,Improved Back to Back    +2 to ally’s AC,AC
Coordinated Defence,Coordinated Defence    +2 to CMD,協調防禦
to,Coordinated Defence    +2 to CMD,於
CMD,Coordinated Defence    +2 to CMD,CMD
Damage Reduction 4/,Damage Reduction 4/―,傷害減免4 / —
Sneak attack damage can be applied when a target is flanked or|is denied their,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",目標無法應用
DEX,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",DEX
bonus to,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",加值在
AC,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",AC
".|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.","Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",上或是被夾擊時可以偷襲|遠程攻擊在30呎內才算作偷襲|偷襲傷害不會因重擊翻倍|使用非致命武器才能非致命偷襲
Fast Movement,Fast Movement +40 ft,快速移動
+40 ft,Fast Movement +40 ft,+40 呎
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",不老身軀
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged",不會年老，也不會因魔法效果而老化
MIGHTY,MIGHTY RAGE!,強力
RAGE!,MIGHTY RAGE!,狂暴!
