Original,Part of,Translation
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DES
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",alla
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",CA
-4 on,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",-4 alle abilità di
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",FOR
"skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",",Percezione oppposte|50% prob. di mancare attaccando|Acrobazia CD 10 per muoversi a più di ½ velocità"
(which grants,(which grants +8 to Acrobatics checks for jumping),(fornisce
to Acrobatics checks for jumping),(which grants +8 to Acrobatics checks for jumping),alle prove di Acrobazia per saltare)
RAGE!,RAGE! POWERS |KNOWN,IRA!
POWERS,RAGE! POWERS |KNOWN,POTERI
KNOWN,RAGE! POWERS |KNOWN,CONOSCIUTI
DISCOVERIES,DISCOVERIES|KNOWN,SCOPERTE
KNOWN,DISCOVERIES|KNOWN,CONOSCIUTE
HEXES,HEXES|KNOWN,FATTURE
KNOWN,HEXES|KNOWN,CONOSCIUTE
POINTS,POINTS|PER DAY,PUNTI
PER DAY,POINTS|PER DAY,AL GIORNO
Use,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,Usa
DEX,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,DES
instead of,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,invece di
STR,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,FOR
for attack and damage rolls when wielding a scimitar in one hand.,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,per attacchi e tiri danno quando impugni una scimitarra a una mano.
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE|THRESHOLD,SOGLIA FALLIMENTO
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,INCANTESIMI ARCANI
INITIATIVE,INITIATIVE BONUS,INIZIATIVA
BONUS,INITIATIVE BONUS,BONUS
CONCENTRATION,CONCENTRATION|SAVE DC,CONCENTRAZIONE
SAVE DC,CONCENTRATION|SAVE DC,CD SALVEZZA
RANGED ATTACK,RANGED ATTACK|BONUS,ATTACCO a DISTANZA
BONUS,RANGED ATTACK|BONUS,BONUS  
Level,25’+ 5’ × (Level ÷ 2),Livello
NO TRACE,NO TRACE|BONUS,BONUS
BONUS,NO TRACE|BONUS,NESSUNA TRACCIA
Damage Reduction 5/,Damage Reduction 5/―,Riduzione del Danno 5/
BLOODRAGE!,BLOODRAGE!|TODAY,IRA DI SANGUE!
TODAY,BLOODRAGE!|TODAY,OGGI
USES,USES PER DAY,UTILIZZI
PER DAY,USES PER DAY,AL GIORNO
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,PENALITA'
PENALTY,ARMOUR|CLASS|PENALTY,CA
Weapon Focus,Weapon Focus   +1 to attack with selected weapon,Arma Focalizzata
SMITING ATTACK,SMITING ATTACK|BONUS,ATTACCO DI PUNIRE
BONUS,SMITING ATTACK|BONUS,BONUS
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Incalzare Terminale
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Attacco extra se il bersaglio è fuori combattimento
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,CONDIVIDERE NEMICO PRESCELTO
DURATION,SHARE FAVOURED ENEMY|DURATION,DURATA
BONUS,HIT DIE BONUS,BONUS
Cost:,Cost: 1 pt per range increment,Costo:
1 pt per range increment,Cost: 1 pt per range increment,1 punto per ogni incremento di gittata
Death or Glory,"Death or Glory    +4 (+1 at levels 11, 16, 20)",Gloria o Morte
"at levels 11, 16, 20)","Death or Glory    +4 (+1 at levels 11, 16, 20)","+4 (+1 al lvlo 11, 16, 20)"
RAGE,RAGE|Duration,IRA
Duration,RAGE|Duration,Durata
(which grants,(which grants +16 to Acrobatics checks for jumping),(fornisce
to Acrobatics checks for jumping),(which grants +16 to Acrobatics checks for jumping),alle prove di Acrobazia per saltare)
Mighty,Mighty RAGE!,Possente
RAGE!,Mighty RAGE!,IRA!
Shaper,Shaper (metacreativity),Modellatore
(metacreativity),Shaper (metacreativity),(metacreatività)
INT,+ INT| per level,INT
per level,+ INT| per level,per livello
RAGE!,RAGE!|Modifier,IRA!
Modifier,RAGE!|Modifier,Mod.
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,CONOSCENZA BARDICA
BONUS,BARDIC KNOWLEDGE |BONUS,BONUS
Level 16:,Level 16: Twice per day,Livello 16: 
Twice per day,Level 16: Twice per day,Due volte al giorno
Kineticist,Kineticist (psychokinesis),Cineta
(psychokinesis),Kineticist (psychokinesis),(psicocinesi)
loyalty,-1 loyalty,Lealtà
TO REBUKE CREATURE,TO REBUKE CREATURE |MAX HIT DICE,INTIMORIRE CREATURE
MAX HIT DICE,TO REBUKE CREATURE |MAX HIT DICE,MAX DADI VITA
MIGHTY,MIGHTY RAGE!,POSSENTE
RAGE!,MIGHTY RAGE!,IRA!
SPELL,SPELL RESISTANCE,RESISTENZA
RESISTANCE,SPELL RESISTANCE,INCANTESIMI
SAVING,SAVING|THROW DC,CD TIRI
THROW DC,SAVING|THROW DC,SALVEZZA
Requires the Two Handed Throw blade skill,* Requires the Two Handed Throw blade skill,Richiede abilità Lancio a Due Mani
Fast Movement,Fast Movement +30 ft,Movimento veloce
+30 ft,Fast Movement +30 ft,10 m
CMD,CMD BONUS,DMC
BONUS,CMD BONUS,BONUS
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",Formazione di Cavalleria
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount","Condvdre spazio, caricare atrvrso cavlctre alleate"
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Ignora riduzione del danno fino a
POWERS,POWERS|KNOWN,POTERI
KNOWN,POWERS|KNOWN,NOTI
ATTACK,ATTACK|PENALTY,ATTACCO
PENALTY,ATTACK|PENALTY,PENALITÀ
STR AND DEX,STR AND DEX BONUS,FOR E DES
BONUS,STR AND DEX BONUS,BONUS
= 1d8 +,= 1d8 + (,= 1d8 +
"Send your mind to the astral plane to ask the spirits advice,|as if using","Send your mind to the astral plane to ask the spirits advice,|as if using contact other plane.","Invia la tua coscienza sul piano astrale per chiedere consiglio|agli spiriti, come se usassi"
contact other plane,"Send your mind to the astral plane to ask the spirits advice,|as if using contact other plane.",contattare altri piani
MAX CASTER,MAX CASTER|LEVEL,LIVELLO INCANTATORE
LEVEL,MAX CASTER|LEVEL,MASSIMO
DC,DC 20,CD
CURRENT,CURRENT|FEATS,TALENTI
FEATS,CURRENT|FEATS,ATTUALI
TURNS,TURNS PER DAY,TURNI
PER DAY,TURNS PER DAY,AL GIORNO
AURAS,AURAS|PER DAY,AURE
PER DAY,AURAS|PER DAY,AL GIORNO
DEFLECTION,DEFLECTION|BONUS,DEVIAZIONE
BONUS,DEFLECTION|BONUS,BONUS
Two-weapon Rend,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",Attacco Lacerante a Due Armi
"If you hit with both weapons, do an extra 1d10 + (","Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage","Se colpisci con entrambe le armi, infliggi 1d10+("
STR,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",FOR
× 1½) damage,"Two-weapon Rend    If you hit with both weapons, do an extra 1d10 + (STR × 1½) damage",x 1.5) danni extra
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,"1,5mt"
step,Pack Attack    Ally’s attack allows you to take 5ft step,passo
FAMILIAR,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,FAMIGLIO
ANIMAL COMPANION,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,COMPAGNO ANIMALE
MOUNT,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,CAVALCATURA
SUMMONED CREATURE,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,CREATURA EVOCATA
saving throws against enchantment,+2 saving throws against enchantment,TS contro ammaliamento
Cost:,Cost: 1 pt,Costo:
1 pt,Cost: 1 pt,1 p.
Level,100’+ 10’ × Level,Livello
RESISTANCE,RESISTANCE|BONUS,RESISTENZA
BONUS,RESISTANCE|BONUS,BONUS
(which grants,(which grants +24 to Acrobatics),(che garantisce
to Acrobatics),(which grants +24 to Acrobatics),ad Acrobazia)
2 or more ki points,20ft aura of luck - 2 or more ki points,2 o più punti ki
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,BONUS MANOVRA
BONUS,COMBAT MANOEUVRE|BONUS,IN COMBATTIMENTO
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,CD Acrobazia = 
CMD,Acrobatics DC = 5 + Opponent’s CMD,5 + DMC Avversario
1 /day,Spirit form  1 /day,1/gg
(which grants,(which grants +20 to Acrobatics),(che fornisce
to Acrobatics),(which grants +20 to Acrobatics),ad Acrobazia)
FLAT-FOOTED,FLAT-FOOTED AC,IMPREPARATO
AC,FLAT-FOOTED AC,CA
Fast Movement,Fast Movement +10 ft,Movimento veloce
+10 ft,Fast Movement +10 ft,3 m
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Usa il livello da monaco al posto del
BAB,Use monk level in place of BAB for calculating CMB,BAB
for calculating,Use monk level in place of BAB for calculating CMB,per calcolare il
CMB,Use monk level in place of BAB for calculating CMB,BMC
INSPIRATION,INSPIRATION|PER DAY,ISPIRAZIONE
PER DAY,INSPIRATION|PER DAY,AL GIORNO
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,BONUS|MANOVRA in
BONUS,COMBAT|MANOEUVRE|BONUS,COMBATTIMENTO
Damage Reduction 1/,Damage Reduction 1/―,Riduzione del Danno 1/
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Resistenza al Richiamo della Natura
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 ai TS contro folletti e vegetali
"loyalty,","+3 loyalty, +4bp consumption","lealtà,"
+4bp,"+3 loyalty, +4bp consumption",+4 consumo
consumption,"+3 loyalty, +4bp consumption",bp
TO DESTROY CREATURE,TO DESTROY CREATURE |MAX HIT DICE,DITRUGGERE CREATURE
MAX HIT DICE,TO DESTROY CREATURE |MAX HIT DICE,MAX DADI VITA
Enter a coma and project yourself to the astral plane as if|using,Enter a coma and project yourself to the astral plane as if|using astral projection.,Entra in coma e proietta te stesso sul piano astrale come se|usassi
astral projection,Enter a coma and project yourself to the astral plane as if|using astral projection.,proiezione astrale
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|DEFENCE,MANOVRA IN|COMBATTIMENTO
DEFENCE,COMBAT|MANOEUVRE|DEFENCE,DIFESA
CHASTISE SPIRITS,CHASTISE SPIRITS|PER DAY,CASTIGARE SPIRITI
PER DAY,CHASTISE SPIRITS|PER DAY,AL GIORNO
BUILDINGS,BUILDINGS    Add buildings to towns,EDIFICI
Add buildings to towns,BUILDINGS    Add buildings to towns,Aggiungi edifici alle Città
Woodland Stride,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Andatura nel bosco
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Muoversi attraverso il sottobosco alla velocità normale senza subire danni
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,Al Riparo
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Si prende il risultato di un alleato a salvz su riflessi
ATTACK,ATTACK ACTIONS,AZIONI 
ACTIONS,ATTACK ACTIONS,d'ATTACCO
Shot on the Run,Shot on the Run    Attack at any point during your move,Tirare in Movimento
Attack at any point during your move,Shot on the Run    Attack at any point during your move," Attacca in un qualsiasi momento durante il movimento"
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Colpo Devastante Migliorato
per die,Improved Devastating Strike  +2 per die,per dado
Speed,"Speed × 2, Nimble",Velocità
DAMAGE,DAMAGE|BONUS,DANNI
BONUS,DAMAGE|BONUS,BONUS
30 ft / 6 sq,Default range increment|30 ft / 6 sq.,9m / 6q
"+10ft speed; once an hour, run at double speed","Run Like The Wind|+10ft speed; once an hour, run at double speed","velocità +3m; una volta all'ora, corre al doppio della velocità"
Slinger’s Luck,Slinger’s Luck    Reroll a saving throw (must take second roll)Reroll a skill check,Pistolero Fortunato
Reroll a saving throw (must take second roll)Reroll a skill check,Slinger’s Luck    Reroll a saving throw (must take second roll)Reroll a skill check,Ritira un TS o una prova di abilità (bisogna tenere il secondo tiro) 
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Punteggio di Destrezza|Penalità:
to concentration checks,Shielded Caster    +4 to concentration checks,ai tiri di concentrazione
At levels,"At levels 4, 8, 12 and 16 you get to add 1 to a single ability score.|If that score was an odd number, this mean an increase in the ability modifier.",Ai livelli
Damage Reduction 2/,Damage Reduction 2/―,Riduzione del Danno 2/
FORTITUDE,FORTITUDE SAVE,TEMPRA
SAVE,FORTITUDE SAVE,SALVEZZA
Half of Ranger’s|Favoured Enemy|bonus granted to|allies within,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,Metà del bonus|Nemico Prescelto del Ranger|dato agli alleati entro
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,9mt
STUNNING FIST,STUNNING FIST|PER DAY,PUGNO STORDENTE
PER DAY,STUNNING FIST|PER DAY,AL GIORNO
BASE ATTACK,BASE ATTACK|BONUS,BONUS ATTACCO
BONUS,BASE ATTACK|BONUS,BASE
AURAS,AURAS|DURATION,AURE
DURATION,AURAS|DURATION,DURATA
RESOLVE,RESOLVE|USES PER DAY,FERMEZZA
USES PER DAY,RESOLVE|USES PER DAY,USI al GIORNO
STUNNING FIST,STUNNING FIST|TODAY,PUGNO STORDENTE
TODAY,STUNNING FIST|TODAY,OGGI
ARMOUR,ARMOUR CLASS,CLASSE
CLASS,ARMOUR CLASS,ARMATURA
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Combattere con Due Armi Superiore
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Terzo attacco con l'arma secondaria
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+4 a tutti i TS|+4 bonus schivata alla
AC,+ 4 to all saving throws|+ 4 dodge bonus to AC,CA
GRIT POINTS,GRIT POINTS|PER DAY,PUNTI GRINTA
PER DAY,GRIT POINTS|PER DAY,al GIORNO
(which grants,(which grants +20 to Acrobatics checks for jumping),(fornisce
to Acrobatics checks for jumping),(which grants +20 to Acrobatics checks for jumping),alle prove di Acrobazia per saltare)
UNARMED ATTACK,UNARMED ATTACK BONUS,COLPO SENZ'ARMI
BONUS,UNARMED ATTACK BONUS,BONUS
level,→ level,livello
(which grants,(which grants +12 to Acrobatics),(che fornisce
to Acrobatics),(which grants +12 to Acrobatics),ad Acrobazia)
+2d6,Damage +2d6 to good/evil creatures,+2d6
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,Bersaglio di Opportunità
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,Attacco extra quando un alleato colpisce a distanza
MIND BLADE,MIND BLADE|DURATION,DURATA
DURATION,MIND BLADE|DURATION,LAMA MENTALE
ft,15 ft  3 sq,m
sq,15 ft  3 sq,q
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,Manovre Coordinate
to,Coordinated Manoeuvres    +2 to CMB,a
CMB,Coordinated Manoeuvres    +2 to CMB,BMC
Two-weapon Fighting,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Combattere con Due Armi
Penalty for wielding two weapons reduced to -4 / -4,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,La penalità per combattere con 2 armi si riduce a -4/-4
Neutral:,Neutral: +2 Stability,Neutrale:
Stability,Neutral: +2 Stability,Stabilità
Pinpoint Targeting,"Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour",Mira Inesorabile
"Make a single attack that bypasses shields, armour and natural armour","Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour","Effettua un singolo attacco che ignora i bonus alla CA di armatura, scudo e armatura naturale"
MELEE DAMAGE,MELEE DAMAGE|BONUS,BONUS DANNO
BONUS,MELEE DAMAGE|BONUS,in MISCHIA
TOUCH AC,TOUCH AC|BONUS,CA TOCCO
BONUS,TOUCH AC|BONUS,BONUS
POISON RESISTANCE,POISON RESISTANCE FORTITUDE SAVE BONUS,RESISTENZA al VELENO
FORTITUDE SAVE BONUS,POISON RESISTANCE FORTITUDE SAVE BONUS,BONUS TS TEMPRA
INSTANT METAMAGIC,INSTANT METAMAGIC|USES PER DAY,METAMAGIA ISTANTANEA
USES PER DAY,INSTANT METAMAGIC|USES PER DAY,USI AL GIORNO
EXOTIC WEAPON ATTACK,EXOTIC WEAPON ATTACK BONUS,ATTACCO ARMA ESOTICA
BONUS,EXOTIC WEAPON ATTACK BONUS,BONUS
KNOWLEDGE,KNOWLEDGE PER DAY,CONOSCENZE
PER DAY,KNOWLEDGE PER DAY,AL GIORNO
to jump checks -,+20 to jump checks - 1 ki point,Prove per i salti -
1 ki point,+20 to jump checks - 1 ki point,1 punto Ki
EXORCISM,EXORCISM |BONUS,ESORCISMO
BONUS,EXORCISM |BONUS,BONUS
Two-weapon Defence,Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),Difendere con Due Armi
+1 shield bonus to AC for using two weapons (+2 if fighting defensively),Two-weapon Defence    +1 shield bonus to AC for using two weapons (+2 if fighting defensively),Bonus +1 di scudo alla CA combattendo con 2 armi (+2 se sulla difensiva)
Weapon Mastery,Weapon Mastery    Increased critical range and always confirm critical hits,Maestria nelle Armi
Increased critical range and always confirm critical hits,Weapon Mastery    Increased critical range and always confirm critical hits,Aumenta raggio di critc e conferma sempre colpi critici
Hammer the Gap,Hammer the Gap    On a successful attack,Martellamento
On a successful attack,Hammer the Gap    On a successful attack,Con un attacco riuscito
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,FALLIMENTO INCANTESIMI ARCANI
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,SOGLIA
CREATURES AFFECTED,CREATURES AFFECTED TOTAL HIT DICE,CREATURE INFLUENZATE
TOTAL HIT DICE,CREATURES AFFECTED TOTAL HIT DICE,TOT DADI VITA
TO DESTROY CREATURE,TO DESTROY CREATURE  MAX HIT DICE,CREATURA DISTRUTTA
MAX HIT DICE,TO DESTROY CREATURE  MAX HIT DICE,MAX DADI VITA
ENERGY|BLAST,ENERGY|BLAST|DAMAGE,DEFLAGRAZIONE|DI ENERGIA
DAMAGE,ENERGY|BLAST|DAMAGE,DANNO
JUDGEMENTS,JUDGEMENTS|PER DAY,GIUDIZI
PER DAY,JUDGEMENTS|PER DAY,al GIORNO
Point-blank shot,Point-blank shot    Within 30ft,Tiro Ravvicinato
Within,Point-blank shot    Within 30ft,Entro
30ft,Point-blank shot    Within 30ft,9m
Trackless Step,"Trackless Step|Leave no trail, unless deliberately",Passo senza Tracce
"Leave no trail, unless deliberately","Trackless Step|Leave no trail, unless deliberately","Non lascia tracce, se non volontariamente"
EXTRA,EXTRA|RAGE!,EXTRA
RAGE!,EXTRA|RAGE!,IRA!
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Tiro Preciso Migliorato
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment," Ignora le penalità per copertura o occultamento parziale"
Point Blank Shot,Point Blank Shot    +1 to attack and damage within 30ft,Tiro Ravvicinato
+1 to attack and damage within 30ft,Point Blank Shot    +1 to attack and damage within 30ft,+1 ad attacchi e danni entro 9 metri
Empty Body,Empty Body|Become ethereal,Corpo Vuoto
CASTER LEVEL,CASTER LEVEL|CHECK DC,LIVELLO INCANTATORE
CHECK DC,CASTER LEVEL|CHECK DC,PROVA CD
30 ft,Slow Fall 30 ft,9 m
Shake It Off,Shake It Off    +1 to all saving throws per adjacent ally,Scuotere via
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,a tutti i tiri salvezza per ogni alleato adiacente
DAMAGE,DAMAGE|REDUCTION,RIDUZIONE
REDUCTION,DAMAGE|REDUCTION,DEL DANNO
Slow Fall,Slow Fall Any distance,Caduta lenta
Any distance,Slow Fall Any distance,qualunque distanza
level ÷ 2,→ level ÷ 2,livello ÷ 2
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to 5/—,Ignora la riduzione del danno fino a
REFLEX,REFLEX|SAVE DC,RIFLESSI
SAVE DC,REFLEX|SAVE DC,SALVEZZA CD
(which grants,(which grants +4 to Acrobatics checks for jumping),(fornisce
to Acrobatics checks for jumping),(which grants +4 to Acrobatics checks for jumping),alle prove di Acrobazia per saltare)
(If,Spell-Like Abilities (If INT or WIS is 8 or higher),(se
AURA,AURA|DURATION,AURA
ft,20 ft  4 sq,m
sq,20 ft  4 sq,q
Lawful:,Lawful: +2 Economy,Legale:
Economy,Lawful: +2 Economy,Economia
d6,d6 +,d6
Slow Fall,Slow Fall 80 ft,Caduta lenta
80 ft,Slow Fall 80 ft,24 m
TEMP ATTACK,TEMP ATTACK|BONUS,BONUS ATTACCO
BONUS,TEMP ATTACK|BONUS,TEMPORANEO
STRENTH|SCORE,STRENTH|SCORE|BONUS,PUNTEGGIO|FORZA
BONUS,STRENTH|SCORE|BONUS,BONUS
TALENTS,TALENTS|KNOWN,TALENTI
KNOWN,TALENTS|KNOWN,CONOSCIUTI
WILL,WILL BONUS,VOLONTA'
BONUS,WILL BONUS,BONUS
burn,5% × burn,sovraccarico
ASSIGN LEADERSHIP,ASSIGN LEADERSHIP    Adjust kingdom rolls,ASSEGNA COMANDO
Adjust kingdom rolls,ASSIGN LEADERSHIP    Adjust kingdom rolls,Aggiusta i tiri del regno
"economy,","+1 economy, -1 loyalty","Economia, "
loyalty,"+1 economy, -1 loyalty",Lealtà
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,Muro di Scudi
to,Shield Wall    +1 / +2 to AC when both using shields,a
AC,Shield Wall    +1 / +2 to AC when both using shields,CA
when both using shields,Shield Wall    +1 / +2 to AC when both using shields,quando entrambi usano scudi
CHALLENGES,CHALLENGES|PER DAY,SFIDE
PER DAY,CHALLENGES|PER DAY,al GIORNO
NIMBLE,NIMBLE|DODGE BONUS,LEGGIADRIA
DODGE BONUS,NIMBLE|DODGE BONUS,BONUS SCHIVARE
TOUCH,TOUCH AC,CONTATTO
AC,TOUCH AC,CA
PSYCHIC STRIKE,PSYCHIC STRIKE|CAPACITY,COLPO PSICHICO
CAPACITY,PSYCHIC STRIKE|CAPACITY,CAPACITÀ
Damage,Damage +1,Danno
ALLIES,ALLIES|MAX ASSISTED,ALLEATI
Bastard Sword,Bastard Sword *,Spada Bastarda
Dead Shot,"Dead Shot    Roll all attacks, additional hits add dice",Colpo Letale
"Roll all attacks, additional hits add dice","Dead Shot    Roll all attacks, additional hits add dice","Tira tutti gli attacchi, dadi per il danno addizionali"
Telepath,Telepath (telepathy),Telepate
(telepathy),Telepath (telepathy),(telepatia)
Rapid Shot,"Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty",Tiro Rapido
"When making a full-round attack, get one additional attack in return for a -2 penalty","Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty"," Durante un attacco completo, effettua un attacco aggiuntivo. Penalità -2 a tutti i tiri"
BANE,BANE|PER DAY,ANATEMA
PER DAY,BANE|PER DAY,al GIORNO
CRAFT RESERVE,CRAFT RESERVE POINTS,PUNTI
POINTS,CRAFT RESERVE POINTS,RISERVA DI CREAZIONE
Shot on the run,Shot on the run    Attack at any point during your move,Tiro in Movimento
Attack at any point during your move,Shot on the run    Attack at any point during your move,Effettua un attacco a distanza in qualsiasi punto durante il movimento
WILD EMPATHY,WILD EMPATHY BONUS,BONUS
BONUS,WILD EMPATHY BONUS,""
6 ki points,Target of an attack surrenders - 6 ki points,6 punti ki
FORTITUDE,FORTITUDE|SAVE DC,TEMPRA
