Original,Part of,Translation
KNOWN,RAGE! POWERS |KNOWN,CONHECIMENTO
RAGE,RAGE|TODAY,FÚRIA!
TODAY,RAGE|TODAY,HOJE
Bonus Spells,Bonus Spells|INT,Bônus de Magia
INT,Bonus Spells|INT,INT
(which grants,(which grants +12 to Acrobatics),(concede
to Acrobatics),(which grants +12 to Acrobatics),para acrobacias)
CONCENTRATION,CONCENTRATION|BONUS,CONCENTRAÇÃO
BONUS,CONCENTRATION|BONUS,BÔNUS
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,CONHECIMENTO BARDO
BONUS,BARDIC KNOWLEDGE |BONUS,BÔNUS
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia com a Natureza
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Melhora a Atitude de um Animal
WILL,WILL|SAVE DC,VONTADE
SAVE DC,WILL|SAVE DC,CD DE RESISTÊNCIA
DURATION,DURATION|PER DAY,DURAÇÃO
PER DAY,DURATION|PER DAY,POR DIA
Constitution,Constitution +2,Constituição
Level,100’+ 10’ × Level,Nível
POWER POINTS,POWER POINTS|MAX COST,PONTOS DE PODER
MAX COST,POWER POINTS|MAX COST,CUSTO MAX
TO TURN CREATURE,TO TURN CREATURE  MAX HIT DICE,EXPULSAR CRIATURA
MAX HIT DICE,TO TURN CREATURE  MAX HIT DICE,MÁXIMO DE DADOS DE VIDA
OPPOSED,OPPOSED SCHOOLS,OPOSTA
SCHOOLS,OPPOSED SCHOOLS,ESCOLA
KNOWLEDGE,KNOWLEDGE BONUS,CONHECIMENTO
BONUS,KNOWLEDGE BONUS,BÔNUS
FORTITUDE|SAVE,FORTITUDE|SAVE DC,Fortitude|Resistência
DC,FORTITUDE|SAVE DC,CD
WISDOM|CHECK,WISDOM|CHECK DC,TESTE DE SABEDORIA
DC,WISDOM|CHECK DC,CD
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINAR
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MÁXIMA AUDIÊNCIA
RAGE,RAGE POWERS |KNOWN,FÚRIA
POWERS,RAGE POWERS |KNOWN,PODERES
KNOWN,RAGE POWERS |KNOWN,CONHECIMENTO
AURA,AURA|RANGE,AURA
RANGE,AURA|RANGE,ALCANCE
shield bonus to,+2 shield bonus to AC and CMD while stationary,bônus de escudo para
AC,+2 shield bonus to AC and CMD while stationary,CA
and,+2 shield bonus to AC and CMD while stationary,e
CMD,+2 shield bonus to AC and CMD while stationary,DMC
Bonus to touch,Bonus to touch AC and CMD when only in light armour,Bônus para tocar
AC,Bonus to touch AC and CMD when only in light armour,CA
and,Bonus to touch AC and CMD when only in light armour,e
CMD,Bonus to touch AC and CMD when only in light armour,DMC
when only in light armour,Bonus to touch AC and CMD when only in light armour,somente enquanto usar armadura leve
Melee Attack,Melee Attack +1,Ataque Corpo a Corpo
EFFECTIVE,EFFECTIVE|BARD LEVEL,EFETIVO
BARD LEVEL,EFFECTIVE|BARD LEVEL,NÍVEL DO BARDO
FOCUS,FOCUS|BONUS,FOCUS
BONUS,FOCUS|BONUS,BÔNUS
(which grants,(which grants +4 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +4 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
AQUATIC,AQUATIC|BONUS,AQUÁTICO
BONUS,AQUATIC|BONUS,BÔNUS
"economy,","+1 economy, -1 loyalty","economia,"
loyalty,"+1 economy, -1 loyalty",lealdade
Arctic Native,Arctic Native|Bonus in icy terrain,Nativo do Artico
Bonus in icy terrain,Arctic Native|Bonus in icy terrain,Bônus em terreno gelado
CREATURES AFFECTED,CREATURES AFFECTED TOTAL HIT DICE,CRIATURAS AFETADAS
TOTAL HIT DICE,CREATURES AFFECTED TOTAL HIT DICE,DADOS DE VIDA TOTAIS
COMBAT|MANEUVRE,COMBAT|MANEUVRE|BONUS,MANOBRA DE COMBATE
BONUS,COMBAT|MANEUVRE|BONUS,BÔNUS
ft,30 ft,m
DAMAGE,DAMAGE ROLL,DANO
ROLL,DAMAGE ROLL,ROLAGEM
MAX EXTRA,MAX EXTRA|POINT BUY,EXTRA MAX
POINT BUY,MAX EXTRA|POINT BUY,COMPRAR PONTO
Eyes of the Storm,"Eyes of the Storm|See through fog, mist, gas, wind or rain",Olhos da Tempestade
"See through fog, mist, gas, wind or rain","Eyes of the Storm|See through fog, mist, gas, wind or rain","Ver através da neblina, nevoa, gás, vento ou chuva "
Wild Shape,Wild Shape|Become any small or medium animal or giant,Forma Selvagem
Become any small or medium animal or giant,Wild Shape|Become any small or medium animal or giant,Torna-se qualquer animal pequeno ou médio ou gigante
CONTROLLED|SPIRIT,CONTROLLED|SPIRIT|CAPACITY,ESPIRITO CONTROLADO
Fast Movement,Fast Movement +50 ft,Movimento Rápido
+50 ft,Fast Movement +50 ft,15m
EXTRA,EXTRA|RAGE!,EXTRA
RAGE!,EXTRA|RAGE!,FÚRIA!
MELEE DAMAGE,MELEE DAMAGE|BONUS,DANO CORPO A CORPO
BONUS,MELEE DAMAGE|BONUS,BÔNUS
REFLEX,REFLEX SAVE,REFLEXO
SAVE,REFLEX SAVE,RESISTÊNCIA
Mystic Wisdom,Mystic Wisdom 3,Sabedoria Mística
INSPIRED,INSPIRED RAGE!,INSPIRADO
RAGE!,INSPIRED RAGE!,FÚRIA!
Bonus to,Bonus to CMB and CMD for your|chosen combat manoeuvres,Bônus de
CMB,Bonus to CMB and CMD for your|chosen combat manoeuvres,BMC
and,Bonus to CMB and CMD for your|chosen combat manoeuvres,e
CMD,Bonus to CMB and CMD for your|chosen combat manoeuvres,DMC
for your|chosen combat manoeuvres,Bonus to CMB and CMD for your|chosen combat manoeuvres,para suas manobras de combate escolhidas
AURA,AURA|DURATION,AURA
DURATION,AURA|DURATION,DURAÇÃO
DAMAGE,DAMAGE BONUS,DANO
BONUS,DAMAGE BONUS,BÔNUS
CHANNEL ENERGY,CHANNEL ENERGY PER DAY,CANALIZAR ENERGIA
PER DAY,CHANNEL ENERGY PER DAY,POR DIA
ATTACK PENALTY,ATTACK PENALTY|REDUCTION,PENALIDADE DE ATAQUE
REDUCTION,ATTACK PENALTY|REDUCTION,REDUÇÃO
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,SURPRESA
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,CLASSE DE ARMADURA
INITIATIVE,INITIATIVE BONUS,INICIATIVA
BONUS,INITIATIVE BONUS,BÔNUS
SAVE,SAVE DC,TESTE
DC,SAVE DC,CD
60 ft,Slow Fall 60 ft,18m
POWER POINTS,POWER POINTS|PER DAY,PONTOS DE PODER
PER DAY,POWER POINTS|PER DAY,POR DIA
HEALING,HEALING HIT POINTS,CURAR
HIT POINTS,HEALING HIT POINTS,PONTOS DE VIDA
RANGED ATTACK,RANGED ATTACK|BONUS,BÔNUS DO ALCANCE DO ATAQUE
DAMAGE TAKEN,DAMAGE TAKEN |WHILE RAGING!,RECEBENDO DANO
WHILE,DAMAGE TAKEN |WHILE RAGING!,ENQUANTO
RAGING!,DAMAGE TAKEN |WHILE RAGING!,FÚRIOSO!
TEAMWORK,TEAMWORK|FEATS,TRABALHO EM EQUIPE
FEATS,TEAMWORK|FEATS,TALENTOS
SPEED,SPEED BONUS,VELOCIDADE
BONUS,SPEED BONUS,BÔNUS
POTENT,POTENT|FOR,POTENCIA
FOR,POTENT|FOR,FOR
(which grants,(which grants +20 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +20 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
DC,DC    5,CD
TO DESTROY CREATURE,TO DESTROY CREATURE  MAX HIT DICE,DESTRUIR CRIATURAS
MAX HIT DICE,TO DESTROY CREATURE  MAX HIT DICE,MAXIMO DE DADOS DE VIDA
INITIATIVE,INITIATIVE|BONUS,INICIATIVA
BONUS,INITIATIVE|BONUS,BÔNUS
DESERT,DESERT|BONUS,DESERTO
BONUS,DESERT|BONUS,BÔNUS
TRUE,TRUE HEALER,VERDADEIRO
HEALER,TRUE HEALER,CURA
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE|THRESHOLD,FALHA ARCANA
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,LIMIAR
DANCE,DANCE|BONUS,DANÇA
BONUS,DANCE|BONUS,BONUS
Damage Reduction 5/,Damage Reduction 5/―,Redução de Dano 5/
STRENTH|SCORE,STRENTH|SCORE|BONUS,FORÇA
BONUS,STRENTH|SCORE|BONUS,MODIFICADOR
Darkvision 60ft,Darkvision 60ft| • Can see without any light at all| • Invisible objects are still invisible| • Darkvision is black and white,Visão no Escuro 18m
(which grants,(which grants +8 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +8 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
Use,Use INT in place of WIS on Will saves for this round.,Use
INT,Use INT in place of WIS on Will saves for this round.,INT
in place of,Use INT in place of WIS on Will saves for this round.,no lugar de
WIS,Use INT in place of WIS on Will saves for this round.,SAB
on Will saves for this round.,Use INT in place of WIS on Will saves for this round.,para testes de Vontade neste turno
Mighty,Mighty RAGE!,Poderoso
RAGE!,Mighty RAGE!,FÚRIA!
Bonus Spells,Bonus Spells|CHA,Magia Bônus
CHA,Bonus Spells|CHA,CAR
RAGE!,RAGE!  DURATION|PER DAY,FÚRIA!
DURATION,RAGE!  DURATION|PER DAY,DURAÇÃO
PER DAY,RAGE!  DURATION|PER DAY,POR DIA
RAGE!,RAGE!|Modifier,FÚRIA!
Modifier,RAGE!|Modifier,Modificador
DC,DC +1,CD
ENERGY,ENERGY|ROLL,ENERGIA
ROLL,ENERGY|ROLL,ROLAGEM
Venom Immunity,Venom Immunity|Immune to all poisons,Imune a Veneno
Immune to all poisons,Venom Immunity|Immune to all poisons,Imune a todos os venenos
30 ft,Slow Fall 30 ft,9m
CON,+ CON| per level,CON
per level,+ CON| per level,por Nível
MAX CASTER,MAX CASTER|LEVEL,CONJURAÇÃO MAX
LEVEL,MAX CASTER|LEVEL,NÍVEL
TOUCH,TOUCH ARMOUR CLASS,TOQUE
ARMOUR CLASS,TOUCH ARMOUR CLASS,CLASSE DE ARMADURA
WILD EMPATHY,WILD EMPATHY|BONUS,EMPATIA COM A NATUREZA
BONUS,WILD EMPATHY|BONUS,BÔNUS
CASTER,CASTER LEVEL,CONJURADOR
LEVEL,CASTER LEVEL,NÍVEL
MAX,MAX|HEALTH,MAX
HEALTH,MAX|HEALTH,CURA
WILL,WILL SAVE DC,VONTADE
SAVE DC,WILL SAVE DC,RESISTÊNCIA CD
Morale Bonus,Morale Bonus    Inspire Courage and similar,Bônus Moral
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Inspirar Coragem e Similar
Fast Movement,Fast Movement +30 ft,Movimento Rápido
+30 ft,Fast Movement +30 ft,+9m
Damage,Damage +2d6 to good/evil creatures,Dano
+2d6,Damage +2d6 to good/evil creatures,+2d6
to good/evil creatures,Damage +2d6 to good/evil creatures,para criaturas boas/mals
ETHERIAL,ETHERIAL|ROUNDS,ETÉREO
ROUNDS,ETHERIAL|ROUNDS,TURNOS
Greater,Greater RAGE!,Aprimorado
RAGE!,Greater RAGE!,FÚRIA!
GEAR,GEAR|CAPACITY,EQUIPAMENTOS
CAPACITY,GEAR|CAPACITY,CAPACIDADE
EXORCISM,EXORCISM|DC,EXORCISMO
DC,EXORCISM|DC,CD
Craft -,Craft - INT|Perform - CHA,Oficio -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Atuação -
CHA,Craft - INT|Perform - CHA,CAR
RAGE!,RAGE! POWERS,FÚRIA!
POWERS,RAGE! POWERS,PODERES
PERFORMANCE,PERFORMANCE|ROUNDS USED,ATUAÇÃO
ROUNDS USED,PERFORMANCE|ROUNDS USED,TURNOS USADOS
REDIRECTION,REDIRECTION|PER DAY,REDIRECIONAR
PER DAY,REDIRECTION|PER DAY,POR DIA
CONFUSION,CONFUSION|DURATION,CONFUSÃO
DURATION,CONFUSION|DURATION,DURAÇÂO
POINTS,POINTS|PER DAY,PONTOS
PER DAY,POINTS|PER DAY,POR DIA
Strength,Strength +2,Força
DAMAGE,DAMAGE|REDUCTION,REDUÇÃO
REDUCTION,DAMAGE|REDUCTION,DANO
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,1.5m
KNOWLEDGE,KNOWLEDGE|BONUS,CONHECIMENTO
BONUS,KNOWLEDGE|BONUS,BÔNUS
ENERGY,ENERGY|RESISTANCE,ENERGIA
RESISTANCE,ENERGY|RESISTANCE,RESISTÊNCIA
Coordinated Defence,Coordinated Defence    +2 to CMD,Defesa Coordenada
to,Coordinated Defence    +2 to CMD,para
CMD,Coordinated Defence    +2 to CMD,DMC
Mystic Wisdom,Mystic Wisdom 2,Sabedoria Mística
Scent 30ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",Farejar 9m
30ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",9m
60ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",18m
15ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",4.5m
Become incorporeal for,Become incorporeal for 1 min,Se torna incorpóreo por
1 min,Become incorporeal for 1 min,1 min
FLAT-FOOTED,FLAT-FOOTED|CMD,DESPREVINIDO DMC
CMD,FLAT-FOOTED|CMD,DMC
BASIC HEALING,BASIC HEALING|HIT POINTS,BASE DE CURA
HIT POINTS,BASIC HEALING|HIT POINTS,PONTOS DE VIDA
30ft,"Harm spirits, 1d6 /level, within 30ft",9m
Strength Score|Penalty:,Strength Score|Penalty: -2,Pontos de Força|Penalidade:
(which grants,(which grants +8 to Acrobatics),(concede
to Acrobatics),(which grants +8 to Acrobatics),para acrobacias)
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,CD de Acrobacia = 5 + do Oponente 
CMD,Acrobatics DC = 5 + Opponent’s CMD,DMC
UNARMED STRIKE,UNARMED STRIKE DAMAGE ROLL,ATAQUE DESARMADO
DAMAGE ROLL,UNARMED STRIKE DAMAGE ROLL,ROLAGEM DE DANO
Fast Movement,Fast Movement +60 ft,Movimento Rápido
+60 ft,Fast Movement +60 ft,+18m
HEALING,HEALING|POINTS,CURA
POINTS,HEALING|POINTS,PONTOS
FORTITUDE,FORTITUDE|BONUS,FORTITUDE
BONUS,FORTITUDE|BONUS,BÔNUS
ARMOUR,ARMOUR CLASS,ARMADURA
CLASS,ARMOUR CLASS,CLASSE
BARRAGES,BARRAGES|PER DAY,BARRAGENS
PER DAY,BARRAGES|PER DAY,POR DIA
Level,400’+ 40’ × Level,Nível
DISCERN LIES,DISCERN LIES|PER DAY,DISCERNIR MENTIRAS
PER DAY,DISCERN LIES|PER DAY,POR DIA
USES,USES|PER DAY,USOS
PER DAY,USES|PER DAY,POR DIA
20 ft,Slow Fall 20 ft,6m
Sneak Attack,Sneak Attack +2d6,Ataque Furtivo
+2d6,Sneak Attack +2d6,+2d6
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 × (d10 +
Class|Skills,Class|Skills|+3,Perícias da Classe
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,FALHA ARCANA
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,LIMIAR
Use,Use WIS in place of STR/DEX for monk weapons,Use
WIS,Use WIS in place of STR/DEX for monk weapons,SAB
in place of,Use WIS in place of STR/DEX for monk weapons,no lugar de
STR,Use WIS in place of STR/DEX for monk weapons,FOR
DEX,Use WIS in place of STR/DEX for monk weapons,DES
for monk weapons,Use WIS in place of STR/DEX for monk weapons,para armas de monge
TOUCH AC,TOUCH AC|BONUS,TOQUE CA
BONUS,TOUCH AC|BONUS,BÔNUS
Back to Back,Back to Back    +2 to AC against flanking,Costas com Costos
to,Back to Back    +2 to AC against flanking,para 
AC,Back to Back    +2 to AC against flanking,CA
against flanking,Back to Back    +2 to AC against flanking,contra flaqueamento
Attack range,"Attack range 30ft, half damage to targets of the wrong type",Alcance do Ataque
30ft,"Attack range 30ft, half damage to targets of the wrong type",9m
", half damage to targets of the wrong type","Attack range 30ft, half damage to targets of the wrong type",", metade do dano para alvos de outro tipo"
ATTACK /|DAMAGE,ATTACK /|DAMAGE|BONUS,DANO DE ATAQUE
BONUS,ATTACK /|DAMAGE|BONUS,BÔNUS
DEFLECTION,DEFLECTION|BONUS,DEFLEXÃO
BONUS,DEFLECTION|BONUS,BÔNUS
(which grants,(which grants +24 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +24 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
BONUS,BONUS|DURATION,BÔNUS
DURATION,BONUS|DURATION,DURAÇÂO
RAGE!,RAGE!|Today,FÚRIA!
Today,RAGE!|Today,Hoje
ft,20 ft  4 sq,m
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Tiro preciso
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Ataque corpo a corpo sem a penalidade de -4
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,DANO FURTIVO
BONUS,SNEAK DAMAGE|BONUS,BÔNUS
70 ft,Slow Fall 70 ft,21m
STREETWISE,STREETWISE|BONUS,CONHECIMENTO DAS RUAS
BONUS,STREETWISE|BONUS,BÔNUS
WILL,WILL SAVE,VONTADE
SAVE,WILL SAVE,RESISTENCIA
Back to Back,Back to Back     +2 to AC against flanking,Costas com Costas
to,Back to Back     +2 to AC against flanking,para
AC,Back to Back     +2 to AC against flanking,CA
against flanking,Back to Back     +2 to AC against flanking,Contra flanqueamento
FEAR,FEAR|DAMAGE,MEDO
DAMAGE,FEAR|DAMAGE,DANO
FORTUNE,FORTUNE|PER DAY,FORTUNA
PER DAY,FORTUNE|PER DAY,POR DIA
TALENTS,TALENTS|KNOWN,TALENTOS CONHECIDOS
KNOWN,TALENTS|KNOWN,CONHECIDOS
DC,DC 30,CD
POISON RESISTANCE,POISON RESISTANCE FORTITUDE SAVE BONUS,RESISTÊNCIA A VENENO
FORTITUDE SAVE BONUS,POISON RESISTANCE FORTITUDE SAVE BONUS,BÔNUS EM TESTES DE FORTITUDE
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,CONSTITUIÇÃO
BONUS,CONSTITUTION|SCORE|BONUS,MODIFICADOR
SNEAK ATTACK,SNEAK ATTACK|BONUS,BÔNUS DE ATAQUE FURTIVO
EXTRA,EXTRA DAMAGE,EXTRA
DAMAGE,EXTRA DAMAGE,DANO
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Use o nível do monge no lugar de
BAB,Use monk level in place of BAB for calculating CMB,BBA
for calculating,Use monk level in place of BAB for calculating CMB,para calcular
CMB,Use monk level in place of BAB for calculating CMB,BMC
TEMP ATTACK,TEMP ATTACK|BONUS,ATAQUE TEMP
BONUS,TEMP ATTACK|BONUS,BÔNUS
CASTER,CASTER|LEVEL DC,CONJURADOR
LEVEL DC,CASTER|LEVEL DC,NÍVEL CD
INTIMIDATE,INTIMIDATE|BONUS,INTIMIDAR
BONUS,INTIMIDATE|BONUS,BÔNUS
80 ft,Slow Fall 80 ft,24m
Use,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,Usa
DEX,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,DES
instead of,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,ao invés de
STR,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,FOR
for attack and damage rolls when wielding a scimitar in one hand.,Use DEX instead of STR for attack and damage rolls when wielding a scimitar in one hand.,para rolagem de ataque ou dano enquanto empunhando uma cimitarra em uma mão.
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,9m
RAGE!,RAGE!|PER DAY,FÚRIA!
PER DAY,RAGE!|PER DAY,POR DIA
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Corpo Atemporal
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","Não envelhece, ignora magias de envelhecimento"
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD de Acrobacia = do Oponente
CMD,Acrobatics DC = Opponent’s CMD,DMC
SLEIGHT OF|HAND,SLEIGHT OF|HAND|BONUS,PRESTIDIGITAÇÃO
BONUS,SLEIGHT OF|HAND|BONUS,BÔNUS
TURNS,TURNS PER DAY,TURNOS
PER DAY,TURNS PER DAY,POR DIA
Melee Damage,Melee Damage +2,Dano Corpo a Corpo
KI POOL,KI POOL|CAPACITY,Reserva de KI
CAPACITY,KI POOL|CAPACITY,CAPACIDADE
ft,10 ft  2 sq,m
sq,10 ft  2 sq,m²
Slow Fall,Slow Fall Any distance,Queda Suave
Any distance,Slow Fall Any distance,Qualquer distancia
1d2,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d2
1d3,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d3
1d4,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d4
1d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d6
1d8,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d8
2d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,2d6
3d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,3d6
4d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,4d6
6d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,6d6
8d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,8d6
12d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,'1d6
HEALING,HEALING|PER DAY,CURA
PER DAY,HEALING|PER DAY,POR DIA
BASE|ATTACK,BASE|ATTACK|BONUS,BASE DE ATAQUE
BONUS,BASE|ATTACK|BONUS,BÔNUS
FORTITUDE,FORTITUDE SAVE,Fortitude
SAVE,FORTITUDE SAVE,Resistência
loyalty,+1 loyalty,lealdade
MAX,MAX|AURAS,MAX
AURAS,MAX|AURAS,AURAS
CHANNEL,CHANNEL|PER DAY,CANALIZAR
PER DAY,CHANNEL|PER DAY,POR DIA
Suggestion,Suggestion   Influence subject’s actions,Sugestão
Influence subject’s actions,Suggestion   Influence subject’s actions,Influência ações do sujeito
WISDOM|CHECK,WISDOM|CHECK BONUS,TESTE DE SABEDORIA
BONUS,WISDOM|CHECK BONUS,BÔNUS
Damage,Damage +1,Dano
SUPERSTITIOUS,SUPERSTITIOUS|BARBARIAN!,SUPERSTICIOSO
BARBARIAN!,SUPERSTITIOUS|BARBARIAN!,BÁRBARO!
Strength,Strength +4,Força
+10 ft,Speed +10 ft,+10m
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Pontos de Destreza|Penalidade:
Add,Add INT bonus to attacks when flanking or making an attack of opportunity.,Adiciona
INT,Add INT bonus to attacks when flanking or making an attack of opportunity.,INT
bonus to attacks when flanking or making an attack of opportunity.,Add INT bonus to attacks when flanking or making an attack of opportunity.,bônus de ataque quando flanqueado ou ao fazer um ataque de oportunidade.
Level 16:,Level 16: Twice per day,Nível 16:
Twice per day,Level 16: Twice per day,Duas vezes por dia
MELEE ATTACK,MELEE ATTACK|BONUS,ATAQUE CORPO A CORPO
BONUS,MELEE ATTACK|BONUS,BÔNUS
to confirm critical hits,+1 to confirm critical hits,para confirmar danos criticos
Knowledge Pool,Knowledge Pool|Prepare any Magus spell as if known,Fonte de Conhecimento
Prepare any Magus spell as if known,Knowledge Pool|Prepare any Magus spell as if known,Prepara qualquer magia que o mago conheça
URBAN,URBAN|BARBARIAN!,URBANO
BARBARIAN!,URBAN|BARBARIAN!,BÁRBARO!
PERCEPTION,PERCEPTION|BONUS,PERCEPÇÃO
BONUS,PERCEPTION|BONUS,BÔNUS
PERFORMANCE,PERFORMANCE|BONUS,ATUAÇÃO
BONUS,PERFORMANCE|BONUS,BÔNUS
GRAPPLE,GRAPPLE BONUS,AGARRAR
BONUS,GRAPPLE BONUS,BÔNUS
Add,"Add WIS to CMB, once a round",Adciona
WIS,"Add WIS to CMB, once a round",VON
