Original,Part of,Translation
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Incantation Alliée
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,pour vaincre la RM
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 x (d10 + 
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",CON
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") points de vie temporaires,|+2 à l'attaque, +1 aux jets de sauvegarde vigueur"
STAMINA,STAMINA POINTS,POINTS
POINTS,STAMINA POINTS,D'ENDURANCE
Bastard Sword,Bastard Sword *,Epee bâtarde
SMALL ARMS,SMALL ARMS|BONUS,BONUS
BONUS,SMALL ARMS|BONUS,ARMES LÉGÈRES
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,CLASSE D'ARMURE
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,PRIS AU DÉPOURVU
"loyalty,","+2 loyalty, +2bp consumption","loyauté,"
+2bp,"+2 loyalty, +2bp consumption",+2pc
consumption,"+2 loyalty, +2bp consumption",consommation
Cost:,Cost: 1 pt,Coût :
1 pt,Cost: 1 pt,1 pt
TALENTS,TALENTS|KNOWN,TALENTS
KNOWN,TALENTS|KNOWN,CONNUS
Leads kingdom’s defences,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",Dirige les défenses du royaume
"– If vacant,","Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability","- Si vacant,"
loyalty and,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",en loyauté et
stability,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",en stabilité
Manyshot,"Manyshot    When making a full-round attack, your first attack has two arrows",Feu nourri
"When making a full-round attack, your first attack has two arrows","Manyshot    When making a full-round attack, your first attack has two arrows","En attaque à outrance, votre première attaque a deux flèches"
Evil:,Evil: +2 Economy,Mauvais:
Economy,Evil: +2 Economy,Économie
Tireless,Tireless RAGE!,Sans Fatigue
RAGE!,Tireless RAGE!,RAGE!
HEXES,HEXES    Claim and abandon hexes,HEXAGONES
Claim and abandon hexes,HEXES    Claim and abandon hexes,Revendiquer et abandonner des hexagones
Fast Movement,Fast Movement +40 ft,Déplacement accéléré
+40 ft,Fast Movement +40 ft,+12 m
Spell Save DC = 10 +,Spell Save DC = 10 + CHA + Spell Level,DD de jet de sauvegarde d'un sort = 10 +
CHA,Spell Save DC = 10 + CHA + Spell Level,CHA
+ Spell Level,Spell Save DC = 10 + CHA + Spell Level,+ niveau du sort
Heal your own wounds -,Heal your own wounds - 2 ki points,Soigner ses blessures - 
2 ki points,Heal your own wounds - 2 ki points,2 points de Ki
Two-weapon Fighting,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Combat à deux armes
Penalty for wielding two weapons reduced to -4 / -4,Two-weapon Fighting   Penalty for wielding two weapons reduced to -4 / -4,Pénalité pour porter deux armes réduite à -4 / -4
WILL,WILL SAVE,JET DE
SAVE,WILL SAVE,VOLONTÉ
FORTITUDE|SAVE,FORTITUDE|SAVE DC,DD DU JET|DE
DC,FORTITUDE|SAVE DC,VIGUEUR
Slow Fall,Slow Fall 80 ft,Chute ralentie
80 ft,Slow Fall 80 ft,24 m
AFT,AFT SHIELDS,BOUCLIERS
SHIELDS,AFT SHIELDS,POUPE
Vital Strike,Vital Strike    Extra damage dice,Frappe Décisive
Extra damage dice,Vital Strike    Extra damage dice,Dé de dégâts supplémentaire
Neutral:,Neutral: +2 Stability,Neutre :
Stability,Neutral: +2 Stability,Stabilité
Guides religious worship,"Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",Guide le culte religieux
"– If vacant,","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep","- Si vacant,"
"loyalty and stability, and","Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep","en loyauté et stabilité, et"
unrest at upkeep,"Guides religious worship – If vacant, -2 loyalty and stability, and +1 unrest at upkeep",en insécurité au maintien
Max,Max DEX,DEX
DEX,Max DEX,Maximale
Coordinated Charge,Coordinated Charge    Charge the same foe as an ally,Charge coordonnée
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Charger le même adversaire qu'un allié
Clustered shots,Clustered shots    Group arrows to overcome damage reduction,Tirs groupés
Group arrows to overcome damage reduction,Clustered shots    Group arrows to overcome damage reduction,Groupe les flèches pour vaincre la réduction de dégâts
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,RISQUE D'ÉCHEC DES
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,SORTS PROFANES
Lawful:,Lawful: +2 Economy,Loyal:
Economy,Lawful: +2 Economy,Économie
"stability,","+3 stability, +4bp consumption","stabilité,"
+4bp,"+3 stability, +4bp consumption",+4pc
consumption,"+3 stability, +4bp consumption",consommation
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Coup dévastateur amélioré
per die,Improved Devastating Strike  +2 per die,par dé
ARMOUR CLASS,ARMOUR CLASS|BONUS,CLASSE D'ARMURE
BONUS,ARMOUR CLASS|BONUS,BONUS
Slow Fall,Slow Fall 20 ft,Chute ralentie
20 ft,Slow Fall 20 ft,6 m
Lose,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",Perd le bonus de
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DEX
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",à la
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",CA
-4 on,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",-4 aux compétences
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",FOR
and,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",et
"skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",", Perception|50% risque de manquer son attaque|Test d'Acrobaties DD10 pour se déplacer à plus de la moitié de sa vitesse"
Damage Reduction 4/,Damage Reduction 4/―,Réduction de dégâts 4/
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,RÉDUCTION
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,DU MALUS|D'ARMURE AUX TESTS
Double Slice,Double Slice    No damage penalty,Double frappe
No damage penalty,Double Slice    No damage penalty,Pas de pénalités de dégâts
"economy,","+1 economy, -1 loyalty","économie,"
loyalty,"+1 economy, -1 loyalty",loyauté
Sneaking Precision,Sneaking Precision    Apply a critical effect to the," Précision sournoise"
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Applique un effet critique à la
Theme,Theme represents a core aspect of your character’s|background and motivations.,Thème
represents a core aspect of your character’s|background and motivations.,Theme represents a core aspect of your character’s|background and motivations.,", représente un aspect important de l'historique|et des motivations de votre personnage."
Damage Reduction 1/,Damage Reduction 1/―,Réduction de dégâts 1/
loyalty,+1 loyalty,loyauté
ASSIGN LEADERSHIP,ASSIGN LEADERSHIP    Adjust kingdom rolls,ASSIGNER UN DIRIGEANT
Adjust kingdom rolls,ASSIGN LEADERSHIP    Adjust kingdom rolls,Ajuster les jets du royaume
Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast Raise Dead with a caster level |equal to your Monk level.,Passez une heure et sacrifiez votre réserve de ki entière (qui doit contenir au moins|6 points de ki) pour lancer
Raise Dead,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast Raise Dead with a caster level |equal to your Monk level.,Rappel à la vie
with a caster level |equal to your Monk level.,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast Raise Dead with a caster level |equal to your Monk level.,avec un niveau de lanceur de sorts|égal à votre niveau de Moine
Double Slice,Double Slice    Add your full STR to damage with an off-hand weapon,Double frappe
Add your full,Double Slice    Add your full STR to damage with an off-hand weapon,Ajoute la
STR,Double Slice    Add your full STR to damage with an off-hand weapon,FOR
to damage with an off-hand weapon,Double Slice    Add your full STR to damage with an off-hand weapon,totale avec l'arme en main secondaire
DC,DC 25,DD
"stability,","+4 stability, +8bp consumption","stabilité,"
+8bp,"+4 stability, +8bp consumption",+8pc
consumption,"+4 stability, +8bp consumption",consommation
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Science du partenaire de feinte
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Quand un allié feinte, reçoit une Ad'O"
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,PARTAGER ENNEMI JURE
DURATION,SHARE FAVOURED ENEMY|DURATION,DUREE
Commands the army,"Commands the army – If vacant, -4 loyalty",Commande l'armée
"– If vacant,","Commands the army – If vacant, -4 loyalty","- Si vacant,"
loyalty,"Commands the army – If vacant, -4 loyalty",en loyauté
REFLEX,REFLEX SAVE,JET DE
SAVE,REFLEX SAVE,RÉFLEXES
RAGE!,RAGE!|Today,RAGE!
Today,RAGE!|Today,Aujourd'hui
Death or Glory,"Death or Glory    +4 (+1 at levels 11, 16, 20)",La Mort ou la Gloire
"at levels 11, 16, 20)","Death or Glory    +4 (+1 at levels 11, 16, 20)","aux niveaux 11, 16, 20)"
(which grants,(which grants +16 to Acrobatics checks for jumping),qui donne
to Acrobatics checks for jumping),(which grants +16 to Acrobatics checks for jumping),aux tests d’Acrobaties relatifs à des sauts
TEAMWORK,TEAMWORK|FEATS,DONS
FEATS,TEAMWORK|FEATS,D'ÉQUIPE
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,INSPIRER LA GRANDEUR
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,MAX AFFECTES
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,Cible d'opportunité
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,Attaque à distance supplémentaire quand un allié touche
DAMAGE,DAMAGE|REDUCTION,DOMMAGES
REDUCTION,DAMAGE|REDUCTION,REDUCTION
DEPOSIT,DEPOSIT    4000gp in trade goods and treasure nets 1bp,Dépôt
4000gp in trade goods and treasure nets 1bp,DEPOSIT    4000gp in trade goods and treasure nets 1bp,4000po en biens commerciaux et trésors donne 1pc
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Prend une forme éthérée pendant 1 minute -
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 points de ki
= 1d8,= 1d8 +,= 1d8
1d2,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d2
1d3,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d3
1d4,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d4
1d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d6
1d8,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d8
2d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,2d6
3d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,3d6
4d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,4d6
6d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,6d6
8d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,8d6
12d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,12d6
Rapid Shot,"Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty",Tir rapide
"When making a full-round attack, get one additional attack in return for a -2 penalty","Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty","Lorsd'une attaque à outrance, faites une attaque de plus en prenant une pénalité de -2"
Combat Expertise,Combat Expertise  AC bonus,Expertise du combat
AC,Combat Expertise  AC bonus,Bonus de
bonus,Combat Expertise  AC bonus,CA
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,BONUS DE|DEX
BONUS,MAX ARMOUR|DEX BONUS,MAXIMAL
Ruler of a colony or vassal state,"Ruler of a colony or vassal state – May also take any role for colony, with 1 less benefit",Dirigeant d'une colonie ou d'un état vassal
"– May also take any role for colony, with 1 less benefit","Ruler of a colony or vassal state – May also take any role for colony, with 1 less benefit","- Peut aussi prendre n'mporte quel rôle pour une colonie, avec un bénéfice réduit de 1"
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,BONUS DE
BONUS,COMBAT MANOEUVRE|BONUS,MANOEUVRE OFFENSIVE
ARMOUR,ARMOUR CLASS,CLASSE
CLASS,ARMOUR CLASS,D'ARMURE
Damage Reduction 3/,Damage Reduction 3/―,Réduction de dégâts 3/
Shake It Off,Shake It Off    +1 to all saving throws per adjacent ally,Reprends-toi
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,à tous les jets de sauvegarde par allié adjacent
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,DD Acrobaties = Adversaire
CMD,Acrobatics DC = Opponent’s CMD,CMD
DC,DC 30,DD
Improved Two-weapon Fighting,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Science du Combat à deux Armes
Second attack with your off-hand weapon,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Attaque supplémentaire avec l’arme secondaire
THROWN,THROWN ATTACK,ATTAQUE
ATTACK,THROWN ATTACK,DE JET
DEFLECTION,DEFLECTION|BONUS,BONUS
BONUS,DEFLECTION|BONUS,DE PARADE
WILL,WILL|SAVE DC,DD DE SAUVEGARDE
WILL|SAVE,WILL|SAVE DC,JET DE|VOLONTÉ
SAVE DC,WILL|SAVE DC,DE VOLONTÉ
DC,WILL|SAVE DC,DD
RAGE!,RAGE!  DURATION|PER DAY,RAGE !
DURATION,RAGE!  DURATION|PER DAY,DUREE
PER DAY,RAGE!  DURATION|PER DAY,PAR JOUR
WIS,(WIS minimum 1),SAG
minimum 1),(WIS minimum 1),minimum 1)
Queen Consort or Prince Consort,Queen Consort or Prince Consort – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest,Reine Consort ou Prince Consort
– May rule if the Ruler is absent. but must pass loyalty check or,Queen Consort or Prince Consort – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest,"- Peut diriger si le Dirigeant est absent, mais doit passer un test de loyauté ou"
unrest,Queen Consort or Prince Consort – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest,d'insécurité
Hammer the Gap,Hammer the Gap    On a successful attack,Marteler la faille
On a successful attack,Hammer the Gap    On a successful attack,Sur une attaque réussie
OPPOSED,OPPOSED SCHOOLS,ECOLES
SCHOOLS,OPPOSED SCHOOLS,INTERDITE
Charge,Charge  -2 to AC for the rest of the round,Charge
to,Charge  -2 to AC for the rest of the round,à la
AC,Charge  -2 to AC for the rest of the round,CA
for the rest of the round,Charge  -2 to AC for the rest of the round,pour le reste du tour
"economy,","+3 economy, -4 loyalty","économie,"
loyalty,"+3 economy, -4 loyalty",loyauté
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Arme secondaire
less for a light weapon),Off-hand weapon    (2 less for a light weapon),en moins pour une arme légère)
Linguistics and Knowledge are class skills using,Linguistics and Knowledge are class skills using WIS,Linguistique et Connaissances sont des comp. de classe utilisant
WIS,Linguistics and Knowledge are class skills using WIS,SAG
STRENTH|SCORE,STRENTH|SCORE|BONUS,FORCE|SCORE
BONUS,STRENTH|SCORE|BONUS,BONUS
Good:,Good: +2 Loyalty,Bon:
Loyalty,Good: +2 Loyalty,Loyauté
SUBTOTAL,SUBTOTAL BUFFS & TEAMWORK,SOUS-TOTAL
BUFFS & TEAMWORK,SUBTOTAL BUFFS & TEAMWORK,AMÉLIORATIONS & TRAVAIL D'ÉQUIPE
DAMAGE,DAMAGE ROLL,JET DE 
ROLL,DAMAGE ROLL,DÉGÂT
(which grants,(which grants +12 to Acrobatics),(qui donne
to Acrobatics),(which grants +12 to Acrobatics),à Acrobaties)
"Baron, Duke, King or Queen","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Duc, Roi ou Reine"
"– If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","- Si vacant, le royaume rate tous les jets de commandement et ne peut pas revendiquer ou développer d'hexagone."
ENERGY,ENERGY AC,CA
AC,ENERGY AC,ÉNERGÉTIQUE
ARCANA,ARCANA|KNOWN,ARCANES
KNOWN,ARCANA|KNOWN,CONNUES
Bonus to attack rolls and dodge bonus to,Bonus to attack rolls and dodge bonus to AC|when fighting larger creatures,Bonus aux jets d'attaques et d'esquive à la
AC,Bonus to attack rolls and dodge bonus to AC|when fighting larger creatures,CA
when fighting larger creatures,Bonus to attack rolls and dodge bonus to AC|when fighting larger creatures,contre les créatures plus grandes
Bonus Spells,Bonus Spells|CHA,Sorts supplémentaires
CHA,Bonus Spells|CHA,CHA
Expert Loading,Expert Loading    Keep a broken gun from exploding on a misfire,Expert en rechargement
Keep a broken gun from exploding on a misfire,Expert Loading    Keep a broken gun from exploding on a misfire,Empêche une arme d'exploser en cas de long feu
RAGE!,RAGE!|Modifier,RAGE!
Modifier,RAGE!|Modifier,MODIFICATEUR
DAMAGE,DAMAGE|THRESHOLD,SEUIL DE
THRESHOLD,DAMAGE|THRESHOLD,DÉGÂTS
d6,d6 +,d6
COMBAT|MANEUVRE,COMBAT|MANEUVRE|DEFENCE,DEGRÉ DE|MANOEUVRE
DEFENCE,COMBAT|MANEUVRE|DEFENCE,DÉFENSIVE
"economy,","+2 economy, -2 loyalty","économie,"
loyalty,"+2 economy, -2 loyalty",loyauté
TURNS,TURNS PER DAY,RENVOIS
PER DAY,TURNS PER DAY,PAR JOUR
DC,DC 20,DD
Enforce law and order,"Enforce law and order – If present, -1 unrest at upkeep",Applique la loi et l'ordre
"– If present,","Enforce law and order – If present, -1 unrest at upkeep","- Si présent,"
unrest at upkeep,"Enforce law and order – If present, -1 unrest at upkeep",d'insécurité au maintien
Weapon Mastery,Weapon Mastery    Increased critical range and always confirm critical hits,Maîtrise des armes
Increased critical range and always confirm critical hits,Weapon Mastery    Increased critical range and always confirm critical hits,Zone de critique augmentée et confirme toujours les coups critiques
EXOTIC WEAPON ATTACK,EXOTIC WEAPON ATTACK BONUS,BONUS
BONUS,EXOTIC WEAPON ATTACK BONUS,ATTAQUE A L'ARME EXOTIQUE
Mighty,Mighty RAGE!,RAGE !
RAGE!,Mighty RAGE!,de Maître Berserker
Improved Spell Recall,Improved Spell Recall|Reprepare any spell already cast today,Science du souvenir magique
Reprepare any spell already cast today,Improved Spell Recall|Reprepare any spell already cast today,Re-préparer un sort lancé aujourd'hui
BASE|ATTACK,BASE|ATTACK BONUS,BONUS DE BASE
BONUS,BASE|ATTACK BONUS,À L'ATTAQUE
TRAP SENSE,TRAP SENSE|BONUS,SENS DES PIEGES
BONUS,TRAP SENSE|BONUS,BONUS
Collect taxes and manage finances,"Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes",Collecte les taxes et gère les finances
"– If vacant,","Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes","- Si vacant,"
economy and kingdom can’t levy taxes,"Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes",en économie et le royaume ne peut pas lever de taxes
TERRAIN,"TERRAIN    Build farms, roads, mines etc",TERRITOIRE
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Construire des fermes, routes, mines etc"
A Thousand Faces,A Thousand Faces|Change appearance at will,Mille Visages
Change appearance at will,A Thousand Faces|Change appearance at will,Changer d'apparence à volonté
ft,= 30 ft + 10 ft ×,m
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,Mur de boucliers
to,Shield Wall    +1 / +2 to AC when both using shields,à la
AC,Shield Wall    +1 / +2 to AC when both using shields,CA
when both using shields,Shield Wall    +1 / +2 to AC when both using shields,quand chacun utilise un bouclier
Chaotic:,Chaotic: +2 Loyalty,Chaotique:
Loyalty,Chaotic: +2 Loyalty,Loyauté
DURATION,DURATION|PER DAY,DUREE
PER DAY,DURATION|PER DAY,PAR JOUR
BUILDINGS,BUILDINGS    Add buildings to towns,BÂTIMENTS
Add buildings to towns,BUILDINGS    Add buildings to towns,Ajoute des bâtiments aux villes
items = 1 bulk.,10 L items = 1 bulk.,objets = 1 volume.
Damage Reduction 5/,Damage Reduction 5/―,Réduction de dégâts 5/
Shot on the Run,Shot on the Run    Attack at any point during your move,Tir en mouvement
Attack at any point during your move,Shot on the Run    Attack at any point during your move,Attaque durant un déplacement
EVIL DAMAGE,EVIL DAMAGE|BONUS,BONUS AUX DÉGÂTS
BONUS,EVIL DAMAGE|BONUS,CONTRE LE MAL
Swap Places,Swap Places    Switch places with an ally,Échanger de place
Switch places with an ally,Swap Places    Switch places with an ally,Échange sa place avec un allié
Precise Strike,Precise Strike    When flanking,Coup précis
When flanking,Precise Strike    When flanking,En tenaille
SINGLE,SINGLE ATTACK,SIMPLE
ATTACK,SINGLE ATTACK,ATTAQUE
"Unless the GM says otherwise, level 1 characters have","Unless the GM says otherwise, level 1 characters have|1000 credits to spend on equipment.","À moins que le MJ ne dise le contraire, les personnages|de niveau 1 ont "
1000 credits,"Unless the GM says otherwise, level 1 characters have|1000 credits to spend on equipment.",1000 crédits
to spend on equipment.,"Unless the GM says otherwise, level 1 characters have|1000 credits to spend on equipment."," à dépenser en équipement."
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,SAVOIR BARDIQUE
BONUS,BARDIC KNOWLEDGE |BONUS,BONUS
TRAP SENSE,TRAP SENSE|REFLEX BONUS,SENS DES PIEGES
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,BONUS DE REFLEXES
Lookout,Lookout    Act in surprise round if ally can act,Vigie
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,Peut agir dans le tour de surprise si un allié peut agir
to jump checks -,+20 to jump checks - 1 ki point,aux jets de saut -
1 ki point,+20 to jump checks - 1 ki point,1 point de Ki
FORTIDE,FORTIDE|SAVING THROW,JET DE
SAVING THROW,FORTIDE|SAVING THROW,VIGUEUR
