Original,Part of,Translation
"+4 to Sense Motive, Stealth, Perception","+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception","+4 Sentir Motivação, Furtividade, Percepção"
Escape Route,Escape Route    Don’t provoke AoO when adjacent to an ally,Rota de uga
Don’t provoke AoO when adjacent to an ally,Escape Route    Don’t provoke AoO when adjacent to an ally,Não provoca AdO quando adjacente a um aliado
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia com a Natureza
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Melhora a Atitude de um Animal
TALENTS,TALENTS|KNOWN,TALENTOS
KNOWN,TALENTS|KNOWN,CONHECIDOS
Furious Focus,Furious Focus    Ignore power attack penalty for first attack,Focus de Fúria
Ignore power attack penalty for first attack,Furious Focus    Ignore power attack penalty for first attack,Ignora a penalidade no primeiro poder de ataque
UNARMED STRIKE,UNARMED STRIKE DAMAGE ROLL,ATAQUE DESARMADO
DAMAGE ROLL,UNARMED STRIKE DAMAGE ROLL,ROLAGEM DE DANO
CHANNEL ENERGY,CHANNEL ENERGY PER DAY,CANALIZAR ENERGIA
PER DAY,CHANNEL ENERGY PER DAY,POR DIA
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE|THRESHOLD,FALHA ARCANA
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,LIMIAR
ft,= 5 ft + ( 5 ft ×,m
Bonus Spells,Bonus Spells|CHA,Magia Bônus
CHA,Bonus Spells|CHA,CAR
DC,DC BONUS,CD
BONUS,DC BONUS,BÔNUS
Feint Partner,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",Parceiro de Fintar
"When ally feints, enemy loses","Feint Partner    When ally feints, enemy loses DEX bonus to AC","Quando um aliado finta, o inimigo perde"
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",seu bônus de
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DES na
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
SUPERSTITIOUS,SUPERSTITIOUS|BARBARIAN!,SUPERSTICIOSO
BARBARIAN!,SUPERSTITIOUS|BARBARIAN!,BÁRBARO!
RAGE!,RAGE!|Duration,FÚRIA!
Duration,RAGE!|Duration,Duração
Add,"Add WIS to CMB, once a round",Adciona
WIS,"Add WIS to CMB, once a round",VON
to,"Add WIS to CMB, once a round",para
CMB,"Add WIS to CMB, once a round",BMC
", once a round","Add WIS to CMB, once a round",uma vez no turno
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Sem ação nesta rodada|Perde
DEX,No action this round|Lose DEX bonus to AC; -2 AC,DES
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,e ganha
AC,No action this round|Lose DEX bonus to AC; -2 AC,CA
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Tratado como extraplanar
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Imune a Encantar Pessoa e outros efeitos que|atingem não-extraplanares.|Redução de dano
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Imune a Encantar Pessoa e outros efeitos que|atingem não-extraplanares.|Redução de dano 10/caótico
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/caótico
Point-blank shot,Point-blank shot    Within 30ft,Tiro à queima-roupa
Within,Point-blank shot    Within 30ft,Em até
30ft,Point-blank shot    Within 30ft,9m
(which grants,(which grants +12 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +12 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
DC,DC    5,CD
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINAR
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MÁXIMA AUDIÊNCIA
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Tiro Preciso Aprimorado
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ignora as penalidades de cobertura parcial ou ocultamento parcial
Gain 1hp on a successful melee attack|Gain,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,Ganha 1pv para ataque corpo a corpo com sucesso
WIS,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,VON
hp on a confirmed critical attack,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,pv em um ataque crítico confirmado
PERFECT STRIKE,PERFECT STRIKE|TODAY,GOLPE PERFEITO
TODAY,PERFECT STRIKE|TODAY,HOJE
TRAP SENSE,TRAP SENSE|REFLEX BONUS,DETECTAR ARMADILHAS
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,BÔNUS DE REFLEXO
Weapon Finesse,Weapon Finesse  Use DEX for melee attack,Acuidade com Arma
Use,Weapon Finesse  Use DEX for melee attack,Use
DEX,Weapon Finesse  Use DEX for melee attack,DES
for melee attack,Weapon Finesse  Use DEX for melee attack,para ataques corpo a corpo
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,MANOBRA DE COMBATE
BONUS,COMBAT MANOEUVRE|BONUS,BÔNUS
ft,20 ft  4 sq,m
No action for 1d6 rounds|Lose,No action for 1d6 rounds|Lose DEX bonus to AC; -2 AC,Sem ações por 1d6 rodadas|Perde
DEX,No action for 1d6 rounds|Lose DEX bonus to AC; -2 AC,bônus de
bonus to,No action for 1d6 rounds|Lose DEX bonus to AC; -2 AC,DES na
AC,No action for 1d6 rounds|Lose DEX bonus to AC; -2 AC,CA
Damage,Damage +2d6 to good/evil creatures,Dano
+2d6,Damage +2d6 to good/evil creatures,+2d6
to good/evil creatures,Damage +2d6 to good/evil creatures,para criaturas boas/mals
CON,+ CON| per level,CON
per level,+ CON| per level,por Nível
Intelligence,Intelligence +2,Inteligência
DC,DC 20,CD
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,Manobras Corrdenadas
to,Coordinated Manoeuvres    +2 to CMB,no
CMB,Coordinated Manoeuvres    +2 to CMB,BMC
WILL,WILL SAVE,VONTADE
SAVE,WILL SAVE,RESISTENCIA
Rapid Shot,"Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty",Tiro rápido
"When making a full-round attack, get one additional attack in return for a -2 penalty","Rapid Shot    When making a full-round attack, get one additional attack in return for a -2 penalty","Quando realizar um ataque de rodada completa, ganhe um ataque adicional em com penalidade de -2"
TOUCH,TOUCH AC,CA TOQUE
AC,TOUCH AC,CA
TURNS,TURNS PER DAY,TURNOS
PER DAY,TURNS PER DAY,POR DIA
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Senso da Natureza
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 em Conhecimento (natureza) e em Sobrevivência
Mystic Wisdom,Mystic Wisdom 2,Sabedoria Mística
JUDGEMENTS,JUDGEMENTS|PER DAY,JULGAMENTOS
PER DAY,JUDGEMENTS|PER DAY,POR DIA
Neutral:,Neutral: +2 Stability,Neutra:
Stability,Neutral: +2 Stability,Estabilidade
BLOODRAGE!,BLOODRAGE!|TODAY,FÚRIA SANGUÍNEA!
TODAY,BLOODRAGE!|TODAY,HOJE
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,PENALIDADE EM TESTES DE ARMARUDA
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,REDUÇÃO
BASE|ATTACK,BASE|ATTACK BONUS,BASE DE ATAQUE
BONUS,BASE|ATTACK BONUS,BÔNUS
COMBAT|MANEUVRE,COMBAT|MANEUVRE|DEFENCE,MANOBRA DE COMBATE
DEFENCE,COMBAT|MANEUVRE|DEFENCE,DEFESA
70 ft,Slow Fall 70 ft,21m
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Arma de mão inábil
less for a light weapon),Off-hand weapon    (2 less for a light weapon),menos para uma arma leve)
GEAR,GEAR|CAPACITY,EQUIPAMENTOS
CAPACITY,GEAR|CAPACITY,CAPACIDADE
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Tiro preciso
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Ataque corpo a corpo sem a penalidade de -4
1d2,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d2
1d3,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d3
1d4,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d4
1d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d6
1d8,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d8
2d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,2d6
3d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,3d6
4d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,4d6
6d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,6d6
8d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,8d6
12d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,'1d6
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,CD de Acrobacia = 5 + do Oponente 
CMD,Acrobatics DC = 5 + Opponent’s CMD,DMC
CMB,+1 CMB and CMD for selected combat manoeuvres,BMC
and,+1 CMB and CMD for selected combat manoeuvres,e
CMD,+1 CMB and CMD for selected combat manoeuvres,DMC
for selected combat manoeuvres,+1 CMB and CMD for selected combat manoeuvres,para manobra de combate selecionada
TAKE 20,TAKE 20 PER DAY,ESCOLHER 20
PER DAY,TAKE 20 PER DAY,POR DIA
DAMAGE,DAMAGE ROLL,DANO
ROLL,DAMAGE ROLL,ROLAGEM
FEAT SHARING,FEAT SHARING|DURATION,TALENTO PARTILHADO
DURATION,FEAT SHARING|DURATION,DURAÇÃO
Coordinated Defence,Coordinated Defence    +2 to CMD,Defesa Coordenada
to,Coordinated Defence    +2 to CMD,para
CMD,Coordinated Defence    +2 to CMD,DMC
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE THRESHOLD,FALHA ARCANA
THRESHOLD,ARCANE SPELL FAILURE THRESHOLD,LIMIAR
BONUS,BONUS|DURATION,BÔNUS
DURATION,BONUS|DURATION,DURAÇÂO
ARCANE POOL,ARCANE POOL|CAPACITY,FONTE ARCANA
CAPACITY,ARCANE POOL|CAPACITY,CAPACIDADE
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,9m
DEFLECTION,DEFLECTION|BONUS,DEFLEXÃO
BONUS,DEFLECTION|BONUS,BÔNUS
POWER,POWER|PER DAY,PODER
PER DAY,POWER|PER DAY,POR DIA
KNOWLEDGE,KNOWLEDGE BONUS,CONHECIMENTO
BONUS,KNOWLEDGE BONUS,BÔNUS
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,CONSTITUIÇÃO
BONUS,CONSTITUTION|SCORE|BONUS,MODIFICADOR
Attack range,"Attack range 30ft, half damage to targets of the wrong type",Alcance do Ataque
30ft,"Attack range 30ft, half damage to targets of the wrong type",9m
", half damage to targets of the wrong type","Attack range 30ft, half damage to targets of the wrong type",", metade do dano para alvos de outro tipo"
HEALING,HEALING|PER DAY,CURA
PER DAY,HEALING|PER DAY,POR DIA
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Parceiro de Fintar Aprimorado
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Quando um aliado finta, ganhe AdO"
ARMOUR,ARMOUR|BONUS,ARMADURA
BONUS,ARMOUR|BONUS,BÔNUS
Back to Back,Back to Back    +2 to AC against flanking,Costas com Costos
to,Back to Back    +2 to AC against flanking,para 
AC,Back to Back    +2 to AC against flanking,CA
against flanking,Back to Back    +2 to AC against flanking,contra flaqueamento
TEMP ATTACK,TEMP ATTACK|BONUS,ATAQUE TEMP
BONUS,TEMP ATTACK|BONUS,BÔNUS
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",Formação de Cavalaria
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount","Compartilha espaço, investe através da montaria aliada"
RESOLVE,RESOLVE|USES PER DAY,MOTIVAÇÃO
USES PER DAY,RESOLVE|USES PER DAY,USOS POR DIA
NEGATIVE ENERGY,NEGATIVE ENERGY|DAMAGE,ENERGIA NEGATIVA
DAMAGE,NEGATIVE ENERGY|DAMAGE,DANO
TOUCH,TOUCH ARMOUR CLASS,TOQUE
ARMOUR CLASS,TOUCH ARMOUR CLASS,CLASSE DE ARMADURA
Bonus Spells,Bonus Spells|WIS,Magias Bônus
WIS,Bonus Spells|WIS,SAB
Death or Glory,"Death or Glory   +4 (+1 at levels 11, 16, 20)",Morte ou glória
"at levels 11, 16, 20)","Death or Glory   +4 (+1 at levels 11, 16, 20)","nos níveis 11, 16, 20)"
ATTACK,ATTACK|PENALTY,ATAQUE
PENALTY,ATTACK|PENALTY,PENALIDADE
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,Parede de Escudo
to,Shield Wall    +1 / +2 to AC when both using shields,a
AC,Shield Wall    +1 / +2 to AC when both using shields,CA
when both using shields,Shield Wall    +1 / +2 to AC when both using shields,quando usando ambos os escudos
REFLEX / FORTITUDE,REFLEX / FORTITUDE|SAVE DC,REFLEXO / Fortitude
SAVE DC,REFLEX / FORTITUDE|SAVE DC,TESTE DE CD
Level,25’+ 5’ × (Level ÷ 2),Nível
CASTER,CASTER LEVEL,CONJURADOR
LEVEL,CASTER LEVEL,NÍVEL
FEAR EFFECT,FEAR EFFECTWILL BONUS,EFEITO DE MEDO
WILL BONUS,FEAR EFFECTWILL BONUS,BÔNUS DE VONTADE
KI POOL,KI POOL|CAPACITY,RESERVA DE KI
CAPACITY,KI POOL|CAPACITY,CAPACIDADE
AUDIENCE,AUDIENCE|MAX FASCINATED,AUDIÊNCIA
MAX FASCINATED,AUDIENCE|MAX FASCINATED,FASCINAR MAX
AC,AC +1,CA
Heal your own wounds -,Heal your own wounds - 2 ki points,Curar suas próprias feridas -
2 ki points,Heal your own wounds - 2 ki points,2 pontos de ki
Damage Reduction 1/,Damage Reduction 1/―,Redução de Dano 1/
Class|Skills,Class|Skills|+3,Perícias|da Classe
ALLIES,ALLIES|PER DAY,ALIADOS
PER DAY,ALLIES|PER DAY,POR DIA
TOUCH AC,TOUCH AC|BONUS,TOQUE CA
BONUS,TOUCH AC|BONUS,BÔNUS
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,DANO FURTIVO
BONUS,SNEAK DAMAGE|BONUS,BÔNUS
MAX POWER,MAX POWER|LEVEL,PODER MAX
LEVEL,MAX POWER|LEVEL,NÍVEL
EXTRA,EXTRA DAMAGE,EXTRA
DAMAGE,EXTRA DAMAGE,DANO
Off-hand weapon,Off-hand weapon    (crossbow only),Arma de mão inábil
(crossbow only),Off-hand weapon    (crossbow only),(apenas bestas)
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Grande Golpe Penetrante
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Ignora redução de dano até
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Combater com Duas Armas Aumentado 
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Terceiro ataque com sua arma inábil
FORTITUDE,FORTITUDE SAVE,Fortitude
SAVE,FORTITUDE SAVE,Resistência
Lorekeeper,"Lorekeeper|+2 Diplomacy, Knowledge (local, history,nobility)",Mestre do Conhecimento
"+2 Diplomacy, Knowledge (local, history,nobility)","Lorekeeper|+2 Diplomacy, Knowledge (local, history,nobility)","+2 Diplomacia, Conhecimento (local, história, nobreza)"
KINETIC,KINETIC AC,CINÉTICO
AC,KINETIC AC,CA
WIS,You may gain up to WIS|grit points each day,SAB
PERFORMANCE,PERFORMANCE|BONUS,ATUAÇÃO
BONUS,PERFORMANCE|BONUS,BÔNUS
to saves against enchantment,+2 to saves against enchantment,à resistências contra encantamento
INITIATIVE,INITIATIVE BONUS,INICIATIVA
BONUS,INITIATIVE BONUS,BÔNUS
shield bonus to,+2 shield bonus to AC and CMD while stationary,bônus de escudo para
AC,+2 shield bonus to AC and CMD while stationary,CA
and,+2 shield bonus to AC and CMD while stationary,e
CMD,+2 shield bonus to AC and CMD while stationary,DMC
30 ft / 6 sq,Default range increment|30 ft / 6 sq.,9m / 6 quad
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Escorrega magicamente entre espaços -
2 ki points,Slip magically between spaces - 2 ki points,2 pontos de ki
ENERGY,ENERGY ROLL,ENERGIA
ROLL,ENERGY ROLL,ROLAGEM
INSPIRE GREATNESS,INSPIRE GREATNESS  MAX AFFECTED,INSPIRAR GRANDEZA
MAX AFFECTED,INSPIRE GREATNESS  MAX AFFECTED,AFETADOS MAX
HEALING POINTS,HEALING POINTS|PER DAY,PONTOS DE CURA
PER DAY,HEALING POINTS|PER DAY,POR DIA
Precise Strike,Precise Strike    When flanking,Golpe Preciso
When flanking,Precise Strike    When flanking,Quando flanqueando
Level,400’+ 40’ × Level,Nível
Target of Opportunity,Target of Opportunity    Extra attack when ally hits with ranged,Alvo de Oportunidade
Extra attack when ally hits with ranged,Target of Opportunity    Extra attack when ally hits with ranged,Ataque extra quando um aliado atinge um alvo com ataque a longa distância
CHANNEL,CHANNEL|RANGE,CANALIZAR
RANGE,CHANNEL|RANGE,ALCANCE
Knowledge Pool,Knowledge Pool|Prepare any Magus spell as if known,Fonte de Conhecimento
Prepare any Magus spell as if known,Knowledge Pool|Prepare any Magus spell as if known,Prepara qualquer magia que o mago conheça
STRENTH|SCORE,STRENTH|SCORE|BONUS,FORÇA
BONUS,STRENTH|SCORE|BONUS,MODIFICADOR
(which grants,(which grants +4 to Acrobatics),(concede
to Acrobatics),(which grants +4 to Acrobatics),para acrobacias)
DISCERN LIES,DISCERN LIES|PER DAY,DISCERNIR MENTIRAS
PER DAY,DISCERN LIES|PER DAY,POR DIA
RESOLVE,RESOLVE POINTS,PONTOS DE
POINTS,RESOLVE POINTS,MOTIVAÇÃO
(which grants,(which grants +20 to Acrobatics),(concede
to Acrobatics),(which grants +20 to Acrobatics),para acrobacias)
ENERGY,ENERGY ARMOUR CLASS,ENERGIA
ARMOUR CLASS,ENERGY ARMOUR CLASS,CLASSE DE ARMADURA
RAGE,RAGE  DURATION|PER DAY,DURAÇÃO
DURATION,RAGE  DURATION|PER DAY,DE FÚRIA
PER DAY,RAGE  DURATION|PER DAY,POR DIA
20ft,Treat unarmed attacks as magic weapons|Increase range of a thrown object 20ft - 1 ki point,6m
Manyshot,Manyshot    Shoot two arrows simultaneously,Tiros múltiplos
Shoot two arrows simultaneously,Manyshot    Shoot two arrows simultaneously,Dispara duas flechas simultaneamente
REFLEX|SAVE,REFLEX|SAVE DC,TESTE REFLEXO
REFLEX,REFLEX|SAVE DC,REFLEXO
SAVE DC,REFLEX|SAVE DC,TESTE CD
DC,REFLEX|SAVE DC,CD
UNARMED ATTACK,UNARMED ATTACK BONUS,ATAQUE DESARMADO
BONUS,UNARMED ATTACK BONUS,BÔNUS
30ft,"Harm spirits, 1d6 /level, within 30ft",9m
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,CONHECIMENTO BARDO
BONUS,BARDIC KNOWLEDGE |BONUS,BÔNUS
(which grants,(which grants +20 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +20 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
BARRAGES,BARRAGES|PER DAY,BARRAGENS
PER DAY,BARRAGES|PER DAY,POR DIA
DEVOTED STRIKES,DEVOTED STRIKES|PER DAY,GOLPES DEVOTOS
PER DAY,DEVOTED STRIKES|PER DAY,POR DIA
"economy,","+2 economy, -2 loyalty",economia
loyalty,"+2 economy, -2 loyalty",lealdade
CHANNEL,CHANNEL PER DAY,CANALIZAR
PER DAY,CHANNEL PER DAY,POR DIA
WISDOM|CHECK,WISDOM|CHECK DC,TESTE DE SABEDORIA
DC,WISDOM|CHECK DC,CD
TRUE,TRUE HEALER,VERDADEIRO
HEALER,TRUE HEALER,CURA
+10 ft,Fast Movement +10 ft,+3m
Cost:,Cost: 1 pt per range increment,Custo:
1 pt per range increment,Cost: 1 pt per range increment,1 pt por incremento de distância
Venom Immunity,Venom Immunity|Immune to all poisons,Imune a Veneno
Immune to all poisons,Venom Immunity|Immune to all poisons,Imune a todos os venenos
FATIGUED,FATIGUED|DURATION,FATIGADO
DURATION,FATIGUED|DURATION,DURAÇÃO
Damage Reduction 2/,Damage Reduction 2/―,Redução de Dano 2/
DC,DC 25,CD
AURA,AURA|RANGE,AURA
RANGE,AURA|RANGE,ALCANCE
FORTUNE,FORTUNE|PER DAY,FORTUNA
PER DAY,FORTUNE|PER DAY,POR DIA
MELEE DAMAGE,MELEE DAMAGE|BONUS,DANO CORPO A CORPO
BONUS,MELEE DAMAGE|BONUS,BÔNUS
Rapid shot,Rapid shot    Extra attack at full,Tiro rápido
Extra attack at full,Rapid shot    Extra attack at full,Ataque extra em ação completa
POTENT,POTENT|FOR,POTENCIA
FOR,POTENT|FOR,FOR
Eyes of the Storm,"Eyes of the Storm|See through fog, mist, gas, wind or rain",Olhos da Tempestade
"See through fog, mist, gas, wind or rain","Eyes of the Storm|See through fog, mist, gas, wind or rain","Ver através da neblina, nevoa, gás, vento ou chuva "
REFLEX,REFLEX SAVE,REFLEXO
SAVE,REFLEX SAVE,RESISTÊNCIA
TRAP SENSE,TRAP SENSE|BONUS,SENTIR ARMADILHA
BONUS,TRAP SENSE|BONUS,BÔNUS
Paired Opportunists,Paired Opportunists    When adjacent,Oportunistas Pareados
When adjacent,Paired Opportunists    When adjacent,Quando adjacentes
Focused shot,Focused shot    Within 30ft,Tiro Focado
Within,Focused shot    Within 30ft,em até
30ft,Focused shot    Within 30ft,9m
MOUNTAIN,MOUNTAIN|BONUS,MONTANHA
BONUS,MOUNTAIN|BONUS,BÔNUS
"to Strength, Dexterity and Wisdom score","+2 to Strength, Dexterity and Wisdom score","para pontos Força, Destreza e Sabedoria"
SECOND CHANCES,SECOND CHANCES|PER DAY,SEGUNDAS CHANCES
PER DAY,SECOND CHANCES|PER DAY,POR DIA
Level,Level 8,Nível
Slow Fall,Slow Fall Any distance,Queda Suave
Any distance,Slow Fall Any distance,Qualquer distancia
Damage Reduction 5/,Damage Reduction 5/―,Redução de Dano 5/
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,CD de Acrobacia = do Oponente
CMD,Acrobatics DC = Opponent’s CMD,MCD
BASE ATTACK,BASE ATTACK BONUS,ATAQUE BASE
BONUS,BASE ATTACK BONUS,BÔNUS
Weapon Finesse,Weapon Finesse    Use DEX for melee attack,Acuidade com Arma
Use,Weapon Finesse    Use DEX for melee attack,Use
DEX,Weapon Finesse    Use DEX for melee attack,DES
for melee attack,Weapon Finesse    Use DEX for melee attack,para ataques corpo a corpo
SPEED,SPEED BONUS,VELOCIDADE
BONUS,SPEED BONUS,BÔNUS
DAMAGE,DAMAGE|BONUS,DANO
BONUS,DAMAGE|BONUS,BÔNUS
Slow Fall,Slow Fall 90 ft,Queda Suave
90 ft,Slow Fall 90 ft,27m
EVIL DAMAGE,EVIL DAMAGE|BONUS,DANO MALIGNO
BONUS,EVIL DAMAGE|BONUS,BÔNUS
RAGE!,RAGE! POWERS,FÚRIA!
POWERS,RAGE! POWERS,PODERES
+60 ft,Fast Movement +60 ft,+18m
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Corpo Atemporal
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","Não envelhece, ignora magias de envelhecimento"
Use monk level in place of,Use monk level in place of BAB for calculating CMB,Use o nível do monge no lugar de
BAB,Use monk level in place of BAB for calculating CMB,BBA
for calculating,Use monk level in place of BAB for calculating CMB,para calcular
CMB,Use monk level in place of BAB for calculating CMB,BMC
GREATER,GREATER BLOODRAGE!,AUMENTADA
BLOODRAGE!,GREATER BLOODRAGE!,FÚRIA SANGUÍNEA!
Desert Native,Desert Native|Bonus in desert terrain,Nativo do Deserto
Bonus in desert terrain,Desert Native|Bonus in desert terrain,Bônus em terreno desertico
Damage,Damage +1,Dano
Craft -,Craft - INT|Perform - CHA,Oficio -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Atuação -
CHA,Craft - INT|Perform - CHA,CAR
Slow Fall,Slow Fall 20 ft,Queda Suave
20 ft,Slow Fall 20 ft,6m
